Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-07,133,SCB,Standard Chartered Bank Limited,600,614.8,600,612.13,10427,6319786.8,600.24,790,512,2025-05-07T14:59:10.211809,611.1,137,606.09,61472.35
2,2025-05-07,134,HBL,Himalayan Bank Limited,218,230.9,210.8,223.89,63816,13966983.4,214.23,312.1,168,2025-05-07T14:58:44.159958,222,238,218.86,48487
3,2025-05-07,137,EBL,Everest Bank Limited,611,622.8,611,622.28,29172,18014639.7,614.4,790,494,2025-05-07T14:59:25.929546,622,190,617.53,80552.24
4,2025-05-07,141,LSL,Laxmi Sunrise Bank Limited,205,214.2,201,211.27,102229,21202116.7,205.15,300,143.6,2025-05-07T14:58:57.459176,212.6,293,207.39,51436.88
5,2025-05-07,145,SBL,Siddhartha Bank Limited,262.5,275,261,271,64545,17239684,262.93,380,215.6,2025-05-07T14:58:57.358479,274,192,267.09,38183.85
6,2025-05-07,147,SHL,Soaltee Hotel Limited,506,509.8,496,507.13,70383,35656060.4,500.85,636.5,416.5,2025-05-07T14:58:47.397757,508,240,506.6,51821.72
7,2025-05-07,148,TRH,Taragaon Regency Hotel Limited,940,972,921.2,955.86,3434,3264555.2,927,1538,700,2025-05-07T14:56:09.687935,971,56,950.65,18755.12
8,2025-05-07,149,OHL,Oriental Hotels Limited,852,869.9,840,852.44,8531,7224054.8,856.16,1205,706,2025-05-07T14:57:27.037297,866,54,846.8,10097.11
9,2025-05-07,154,CHCL,Chilime Hydropower Company Limited,500,528,495,522.04,340772,176904030.8,493.61,697,426.3,2025-05-07T14:59:26.337932,521.9,1445,519.12,45847.63
10,2025-05-07,155,STC,Salt Trading Corporation,5136,5200,5060,5187.52,1232,6339667.9,5136.68,7000,4210,2025-05-07T14:53:52.990091,5200,38,5145.83,16637.26
11,2025-05-07,156,BBC,Bishal Bazar Company Limited,5845,5999,5842.5,5990,265,1570724,5960,7247,3631,2025-05-07T13:54:35.063783,5990,24,5927.26,240199
12,2025-05-07,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,761.6,787.4,760.2,782.1,6966,5395503.9,761.6,1099,687.1,2025-05-07T14:52:38.345129,780,110,774.54,14611.86
13,2025-05-07,172,NABBC,Narayani Development Bank Limited,1595.5,1625,1580,1604.24,7360,11772643,1628.01,2060,424,2025-05-07T14:58:26.174222,1605,38,1599.54,4210.61
14,2025-05-07,177,RBCL,Rastriya Beema Company Limited,14894,14894,14650,14846.98,132,1958229,14602.05,22493.9,12800,2025-05-07T14:56:51.642272,14890,9,14835.06,39587.47
15,2025-05-07,178,NLICL,National Life Insurance Co. Ltd.,610,622,603.5,620.1,8866,5457300.7,608.09,776.1,521.3,2025-05-07T14:58:57.110389,620.1,68,615.53,32320.44
16,2025-05-07,179,HEI,Himalayan Everest Insurance Limited,555,587.9,555,585.52,20948,12147902.9,565.21,810,555,2025-05-07T14:56:16.274785,587,109,579.9,14638.92
17,2025-05-07,186,IGI,IGI Prudential insurance Limited,548,561,543.8,556.18,24743,13683414.4,542.59,760,508,2025-05-07T14:59:11.791282,558,171,553.02,16848.55
18,2025-05-07,188,LICN,Life Insurance Corporation (Nepal) Limited,929.1,929.1,910.6,923.81,21832,20070448.1,912.93,2475,905.6,2025-05-07T14:59:25.425453,923,218,919.31,46190.5
19,2025-05-07,192,SICL,Shikhar Insurance Co. Ltd.,760,780,750,776.57,38685,29377620.1,760.88,1120,672,2025-05-07T14:59:16.8687,770,247,759.4,22679.28
20,2025-05-07,194,NFS,Nepal Finance Ltd.,590,644,576,637.71,50556,30621302.2,590.98,2614.9,487.1,2025-05-07T14:59:17.616421,634.9,642,605.69,5350.03
21,2025-05-07,204,GUFL,Gurkhas Finance Ltd.,542,565,534,557.36,19578,10739219.2,531.98,1041,528.1,2025-05-07T14:57:13.005885,558,151,548.53,4837.85
22,2025-05-07,213,BNT,Bottlers Nepal (Terai) Limited,12713.5,12751,12713.5,12750.16,70,892145,12713.5,18100,12300,2025-05-07T14:59:11.096919,12750,4,12744.92,15427.69
23,2025-05-07,219,UNL,Unilever Nepal Limited,46500,46501,46500,46500,50,2325010,46600,56805.8,38400,2025-05-07T14:46:12.20885,46500,3,46500.2,42812.55
24,2025-05-07,227,BFC,Best Finance Company Ltd.,467,504,456,502.25,52725,25582012.9,467.55,951.6,380.1,2025-05-07T14:58:33.204447,500.5,434,485.19,4472.16
25,2025-05-07,232,GFCL,Goodwill Finance Limited,628,665,620,653.76,37095,23676996.1,629.62,1353,446,2025-05-07T14:59:06.777098,654,224,638.27,6185.32
26,2025-05-07,235,HDL,Himalayan Distillery Limited,1180,1222,1175,1207.68,43778,52215574.5,1180.02,1749,1136,2025-05-07T14:59:06.16162,1202,576,1192.73,37116.86
27,2025-05-07,255,PRVU,Prabhu  Bank Limited,196,206,194.1,205.63,193776,38913910.1,196.09,297,132,2025-05-07T14:59:26.340833,205.1,646,200.81,48410.42
28,2025-05-07,256,SFCL,Samriddhi Finance Company Limited,463,508,455,504.89,57214,27499825.7,470.02,1117.9,333.3,2025-05-07T14:59:24.958642,506,394,480.64,4134.6
29,2025-05-07,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,452.7,490,451.5,486.98,18512,8797480.3,460.71,759,365,2025-05-07T14:55:18.45951,490,128,475.23,4929.09
30,2025-05-07,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,791,840,785.1,810.36,3125,2519831.6,790.82,1232,755.1,2025-05-07T14:56:48.695281,807,43,806.34,13424.63
31,2025-05-07,274,EDBL,Excel Development Bank Ltd.,560,604,555,590.02,45959,26574029.6,564.4,838.2,365.1,2025-05-07T14:58:18.717005,587,229,578.21,7373.45
32,2025-05-07,341,GBIME,Global IME Bank Limited,214.6,221.6,213,220.84,165846,36028170.5,214.78,302,170,2025-05-07T14:59:15.737108,221,620,217.23,84175.05
33,2025-05-07,348,CZBIL,Citizens Bank International Limited,199.9,207.8,196.2,207.05,67502,13763144.7,199.1,296,152.5,2025-05-07T14:59:16.76099,207,242,203.89,30579.24
34,2025-05-07,371,MDB,Miteri Development Bank Limited,585.5,616,581,613.93,26657,16019590.6,588.68,843.5,443,2025-05-07T14:58:27.890677,613,221,600.95,7472.14
35,2025-05-07,385,ALICL,Asian Life Insurance Co. Limited,732,738,719.5,736.57,32559,23811187.9,722.59,831,523,2025-05-07T14:57:03.056973,738,147,731.32,25042.17
36,2025-05-07,397,ADBL,Agricultural Development Bank Limited,272.3,287,272.3,286.33,29812,8423092.2,277.83,428.4,228,2025-05-07T14:59:24.91819,287,210,282.54,39671.66
37,2025-05-07,401,MLBL,Mahalaxmi Bikas Bank Ltd.,368,379.5,361,377.32,78212,29046661.5,363.27,498,311.7,2025-05-07T14:59:09.982732,379.5,338,371.38,16211.4
38,2025-05-07,417,GBBL,Garima Bikas Bank Limited,385.5,400,385.5,396.89,37593,14826328,387.72,531.4,350.1,2025-05-07T14:59:10.0948,400,164,394.39,22545.41
39,2025-05-07,450,CORBL,Corporate Development Bank Limited,2178.5,2244,2051,2181.37,8300,17864173.2,2222.87,2842.3,450,2025-05-07T14:57:57.614902,2234,119,2152.31,11452.19
40,2025-05-07,459,KSBBL,Kamana Sewa Bikas Bank Limited,431.1,442,429.8,440.66,29090,12772632.4,433.13,564.8,362,2025-05-07T14:58:20.959309,440,141,439.07,15470.9
41,2025-05-07,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,156,162.1,156,156.2,7059,1119680.2,156.55,222,126.5,2025-05-07T14:25:39.6879,156.2,9,158.61,28596.38
42,2025-05-07,472,SADBL,Shangrila Development Bank Ltd.,385.1,403.5,384,400.05,63170,24929032.6,390.18,497,303.4,2025-05-07T14:56:36.315839,399,196,394.63,14226.8
43,2025-05-07,473,SHINE,Shine Resunga Development Bank Ltd.,392.2,413.4,392.1,406.24,34573,13964643,395.85,625,373.2,2025-05-07T14:58:35.104996,405.5,232,403.91,19807.05
44,2025-05-07,516,MFIL,Manjushree Finance Ltd.,576,619,560,591.98,45682,26361999.1,575.13,917,495.1,2025-05-07T14:59:14.593586,594,278,577.07,8000.92
45,2025-05-07,561,SINDU,Sindhu Bikash Bank Ltd,910.1,965,895.1,930.01,78912,72668708.3,926.56,1482,368,2025-05-07T14:59:12.149867,929,780,920.88,5184.4
46,2025-05-07,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,790,815,785,812.52,5947,4773672.6,798.67,987,667.1,2025-05-07T14:57:49.061366,815,89,802.7,7983.01
47,2025-05-07,591,SHPC,Sanima Mai Hydropower Ltd.,602,634,602,630.16,945954,592096826.4,614.2,680,316,2025-05-07T14:59:04.653413,630.5,2670,625.92,23555.34
48,2025-05-07,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,980,1006,950.6,994.61,9111,8969453.4,986.96,1285,892,2025-05-07T14:58:46.897418,992.8,118,984.46,4054.95
49,2025-05-07,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1420,1470.8,1420,1463.05,2843,4098550,1427.64,2019,1150,2025-05-07T14:57:51.646867,1470,73,1441.62,3276.25
50,2025-05-07,610,RIDI,Ridi Power Company Limited,285,289,277,281.27,719862,203217122.4,282.7,311,154.5,2025-05-07T14:59:23.048652,281,2097,282.3,6534.89
51,2025-05-07,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11480,11701,11300,11470,390,4485860,11693,16270,9893.1,2025-05-07T14:21:43.582304,11470,16,11502.2,20374.12
52,2025-05-07,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1150,1180,1140,1175.59,2790,3227746.3,1161.09,1716,864.4,2025-05-07T14:47:35.632802,1178,59,1156.89,7386.91
53,2025-05-07,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,684,708,684,706.91,3910,2741625.1,697,1214.8,682.1,2025-05-07T14:59:20.749093,703,83,701.18,7820.45
54,2025-05-07,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,675.06,708,670,700.72,13678,9488241.7,675.06,980,648,2025-05-07T14:56:31.786606,701,103,693.68,9943.22
55,2025-05-07,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,303.95,311,299.1,305.61,693958,212221520.5,303.95,360,158.1,2025-05-07T14:59:27.002795,307,1370,305.81,75057.25
56,2025-05-07,2743,NGPL,Ngadi Group Power Ltd.,396,396,385.1,390.12,1408975,547962673.6,389,571,250,2025-05-07T14:59:26.719667,389,3072,388.9,14444.42
57,2025-05-07,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,656,669,645,666.72,16282,10697113.8,644.1,890,639,2025-05-07T14:59:07.115052,668.9,174,656.99,6894.31
58,2025-05-07,2751,KKHC,Khanikhola Hydropower Co. Ltd.,331,348,331,346.93,23440,8048167.7,336.91,475,213,2025-05-07T14:59:18.452467,346.9,130,343.35,1615.7
59,2025-05-07,2754,DHPL,Dibyashwori Hydropower Ltd.,327.7,356,327.7,354.63,65652,22523558.7,331.01,427.2,185.3,2025-05-07T14:59:26.688682,356,225,343.07,936.22
60,2025-05-07,2760,UMHL,United Modi Hydropower Ltd.,498,506.9,498,501.33,212264,106577705.5,500.33,514,223.1,2025-05-07T14:59:22.639843,500.1,632,502.09,6168.87
61,2025-05-07,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,750,790,735,784.59,9354,7175487.9,736.3,1271,735,2025-05-07T14:58:52.688186,785,96,767.1,4935.48
62,2025-05-07,2766,CHL,Chhyangdi Hydropower Ltd.,450,479,448.4,459.03,79522,36424653.9,450.37,599.7,300.9,2025-05-07T14:58:46.186166,456,283,458.04,1776.34
63,2025-05-07,2769,NHDL,Nepal Hydro Developers Ltd.,717.7,745.6,717.7,735.86,9982,7306106.9,732.17,1002.6,408.9,2025-05-07T14:59:21.597513,735,103,731.92,2856.58
64,2025-05-07,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2362,2400,2334,2361.8,1377,3246675.9,2410,4026.2,1395,2025-05-07T14:56:42.123396,2390,54,2357.78,2891.87
65,2025-05-07,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1715,1850,1685,1810.11,4155,7274331,1699.32,2363.3,1320,2025-05-07T14:57:17.944939,1733.1,96,1750.74,4468.55
66,2025-05-07,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,2510,2544.9,2380,2524.12,2996,7473857.3,2551.1,4271,1290,2025-05-07T14:58:28.148336,2539,109,2494.61,1999.39
67,2025-05-07,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,824,839.9,809.1,839,1711,1407825.7,809.68,1190,744,2025-05-07T14:58:44.281796,839,44,822.8,4075.53
68,2025-05-07,2786,PMHPL,Panchakanya Mai Hydropower Ltd,309,328,305.3,316.57,40660,12932346.4,309.79,348.8,214.2,2025-05-07T14:59:07.803726,316.7,182,318.06,3482.27
69,2025-05-07,2787,KPCL,Kalika power Company Ltd,558,566,552,554.47,35112,19672625.4,549.28,652.4,380.2,2025-05-07T14:58:07.697213,554.2,187,560.28,5178.47
70,2025-05-07,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,214,219.1,211,215.95,597244,129417654.8,209.92,274.9,150.9,2025-05-07T14:59:26.951154,216.3,1650,216.69,4319
71,2025-05-07,2789,JOSHI,Joshi Hydropower Development Company Ltd,368,379,361,377.34,29473,10940866.1,362,521.6,265,2025-05-07T14:59:22.839201,379,217,371.21,1401.44
72,2025-05-07,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1011,1045,1001,1043.97,2188,2238909.9,1015.41,1491,826,2025-05-07T14:57:29.045234,1040.2,50,1023.26,3832.87
73,2025-05-07,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1500,1541,1458,1531.45,5834,8799317.4,1485.88,3047,804,2025-05-07T14:59:19.514898,1510,85,1508.28,2615.79
74,2025-05-07,2806,GHL,Ghalemdi Hydro Limited,250,264,250,258.63,319758,83026458.8,251.61,318,141,2025-05-07T14:59:18.150289,259.5,810,259.65,4267.4
75,2025-05-07,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,805,830,792,827.83,4034,3262737.3,804.3,1177,771,2025-05-07T14:58:42.282218,829,67,808.8,6068.38
76,2025-05-07,2809,SHIVM,SHIVAM CEMENTS LTD,534.8,536,521.3,532.35,143462,75791160.1,524.34,779.9,470.5,2025-05-07T14:59:20.88981,532,679,528.3,29049.32
77,2025-05-07,2811,MHNL,Mountain Hydro Nepal Limited,269,275,265.1,273.02,19310,5245999.6,264.64,379,221.5,2025-05-07T14:58:27.484201,273,94,271.67,3412.75
78,2025-05-07,2813,PPCL,Panchthar Power Compant Limited,346.5,357,338,347.48,165949,58116773,339.75,367.2,221.6,2025-05-07T14:59:17.93413,347,335,350.2,3344.49
79,2025-05-07,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1545.1,1573.8,1511,1551.1,1052,1626152.2,1559.6,2327,1137.3,2025-05-07T14:52:54.531103,1551,28,1545.77,2350.76
80,2025-05-07,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2958,2958,2855,2905,814,2354571.9,2900.04,3486,1560,2025-05-07T14:54:59.507236,2905,38,2892.59,3365.43
81,2025-05-07,2828,SAND2085,10% Sanima Bank Limited Debenture,1110,1110,1101.5,1101.5,50,55287.5,1101,1256.6,1028,2025-05-07T14:24:13.000797,1101.5,2,1105.75,2203
82,2025-05-07,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1590.1,1712,1590.1,1671,315,521004.4,1616.16,2426.4,1215.2,2025-05-07T14:35:55.772597,1671,15,1653.98,2564.07
83,2025-05-07,2831,UNHPL,Union Hydropower Limited,346,356,346,351.17,158872,55963762.2,346.07,371,212.6,2025-05-07T14:59:26.202529,352,670,352.25,2633.78
84,2025-05-07,2835,NBF2,NABIL BALANCED FUND-2,9.98,9.98,9.79,9.87,1100,10820,9.79,10.63,7.85,2025-05-07T14:42:38.489525,9.87,8,9.83,1105.44
85,2025-05-07,131,NABIL,Nabil Bank Limited,477,485,474.1,483.31,66388,31828953,476.94,700,419,2025-05-07T14:59:21.656802,482,489,479.43,130769.18
86,2025-05-07,132,NIMB,Nepal Investment Mega Bank Limited,201.4,214,201.4,209.82,143262,29582785.5,202.91,295,147.4,2025-05-07T14:59:21.372603,208,431,206.49,71608.62
87,2025-05-07,135,SBI,Nepal SBI Bank Limited,384,394,376,390.44,49639,18991741.3,377.16,549,270,2025-05-07T14:58:19.720444,389,174,382.59,42554.67
88,2025-05-07,139,NICA,NIC Asia Bank Ltd.,342,360,340.1,358.27,51281,17910366.3,344.23,573,340.1,2025-05-07T14:58:32.810718,357.1,334,349.25,53445.17
89,2025-05-07,140,MBL,Machhapuchhre Bank Limited,211.1,220.5,210,218.41,90329,19484062.4,211.79,295,157.8,2025-05-07T14:54:18.131656,217.2,214,215.7,25382.21
90,2025-05-07,142,KBL,Kumari Bank Limited,195.6,210,192.1,204.22,471302,94695901.9,195.5,272.9,129.6,2025-05-07T14:59:24.31319,203,1045,200.92,53558.45
91,2025-05-07,152,NHPC,National Hydro Power Company Limited,227.1,240,227.1,237.78,801310,190370913,227.17,290,136,2025-05-07T14:59:15.87537,238.1,1775,237.57,5864.7
92,2025-05-07,153,BPCL,Butwal Power Company Limited,495.2,534.1,495.2,534.1,731242,385623670.3,485.57,536.5,284.4,2025-05-07T14:59:16.450896,534.1,2451,527.35,18207.81
93,2025-05-07,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,660,672,654.1,669.5,7556,5025330.5,652.01,930.2,645,2025-05-07T14:56:18.734788,672,73,665.07,17487.87
94,2025-05-07,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,842.75,854,842.1,851.23,9992,8488152.2,842.75,1155,815,2025-05-07T14:57:24.920933,850,115,849.49,27369.99
