Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-06-09,131,NABIL,Nabil Bank Limited,489.9,494.9,489,490.93,29647,14585465.2,489.65,700,450,2025-06-09T14:59:54.247039,491,309,491.97,132830.92
2,2025-06-09,132,NIMB,Nepal Investment Mega Bank Limited,213,213,209,210.26,69888,14719883,210.85,295,149.2,2025-06-09T14:59:32.599458,210.1,306,210.62,71758.78
3,2025-06-09,133,SCB,Standard Chartered Bank Limited,612,615,605,612.85,10269,6257393,606.52,790,549,2025-06-09T14:59:36.985225,614.5,123,609.34,61544.65
4,2025-06-09,134,HBL,Himalayan Bank Limited,219.7,220,216.2,218.4,63035,13735949.8,219.7,312.1,172.1,2025-06-09T14:59:35.822323,218,176,217.9,47298.05
5,2025-06-09,135,SBI,Nepal SBI Bank Limited,406,406,398,402.09,9247,3712304.3,399.64,549,282.3,2025-06-09T14:59:46.243823,402,59,401.46,43824.42
6,2025-06-09,137,EBL,Everest Bank Limited,654,654,636.7,645.89,53276,34363239.2,643.3,790,511,2025-06-09T14:59:49.842692,647.5,248,645,83608.49
7,2025-06-09,139,NICA,NIC Asia Bank Ltd.,348,351.9,345,349.81,109064,37908747,348.67,573,335.5,2025-06-09T14:59:51.789544,351,454,347.58,52183.14
8,2025-06-09,140,MBL,Machhapuchhre Bank Limited,217.2,219.5,216.1,216.48,62412,13564374.5,217.01,295,164.2,2025-06-09T14:59:42.377742,218,166,217.33,25157.91
9,2025-06-09,141,LSL,Laxmi Sunrise Bank Limited,214,218,211.6,216.37,83690,17970856.1,214.51,300,147.7,2025-06-09T14:59:12.130173,216.1,202,214.73,52678.55
10,2025-06-09,142,KBL,Kumari Bank Limited,209,211,207.5,208.22,205988,43014912.7,209.52,272.9,133.2,2025-06-09T14:59:55.194716,209,562,208.82,54607.49
11,2025-06-09,145,SBL,Siddhartha Bank Limited,295,298.8,292.1,297.4,65005,19178427.2,293.12,380,237,2025-06-09T14:59:59.639808,298,104,295.03,41903.6
12,2025-06-09,147,SHL,Soaltee Hotel Limited,555,569.7,551.9,558.64,239199,134550220.2,565.74,636.5,416.5,2025-06-09T14:59:56.401869,559,519,562.5,57085.34
13,2025-06-09,148,TRH,Taragaon Regency Hotel Limited,944,944,926,928.47,3540,3296093.7,932.48,1538,740,2025-06-09T14:57:18.49134,927.5,53,931.09,18217.7
14,2025-06-09,149,OHL,Oriental Hotels Limited,887,897.9,871,885.77,11448,10088183,869.9,1205,746,2025-06-09T14:59:53.531086,888,73,881.21,10491.9
15,2025-06-09,152,NHPC,National Hydro Power Company Limited,215,222.4,215,219.49,136215,29918238.2,215.53,290,136,2025-06-09T14:59:59.429542,220,327,219.63,5413.58
16,2025-06-09,153,BPCL,Butwal Power Company Limited,651,702.5,626.1,701.49,768909,513504513.7,638.68,702.5,286,2025-06-09T14:59:52.214645,702.5,2929,667.83,23914.25
17,2025-06-09,154,CHCL,Chilime Hydropower Company Limited,530,554.3,522.1,551.66,573296,312158537,525.75,697,427,2025-06-09T14:59:59.031572,552.5,2117,544.49,48448.97
18,2025-06-09,155,STC,Salt Trading Corporation,4925.1,5010,4925.1,4980.6,1166,5798465.7,4999.87,7000,4454,2025-06-09T14:58:36.602719,4941,34,4972.95,15973.64
19,2025-06-09,156,BBC,Bishal Bazar Company Limited,5625,5625,5431.8,5518,928,5109127,5542.62,7247,3784,2025-06-09T14:59:39.799823,5590,45,5505.52,221271.8
20,2025-06-09,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,680.5,680.5,669,671.12,5055,3399683,667.4,930.2,650,2025-06-09T14:59:32.773849,669,70,672.53,17530.19
21,2025-06-09,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,880,880,868,869.61,12317,10727083.8,868.05,1155,815,2025-06-09T14:57:24.76958,868,126,870.91,27960.97
22,2025-06-09,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,788,797,788,794.42,3376,2674579.1,788.36,1099,759,2025-06-09T14:59:52.428521,793.1,45,792.23,14842.04
