Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-04-27,131,NABIL,Nabil Bank Limited,490,490,483.2,485.01,50578,24578874.7,485.87,700,419,2025-04-27T14:59:49.101957,484.6,439,485.95,131229.15
2,2025-04-27,132,NIMB,Nepal Investment Mega Bank Limited,210,210,206.2,207.01,103414,21456060.7,209.48,295,147.4,2025-04-27T14:59:36.781434,207,392,207.47,70649.6
3,2025-04-27,133,SCB,Standard Chartered Bank Limited,617.21,630,610,613.3,62465,38249091.4,617.21,790,511,2025-04-27T14:59:56.193569,611,255,612.32,61589.85
4,2025-04-27,134,HBL,Himalayan Bank Limited,225.04,228.2,220,225.25,104862,23466397.4,225.04,312.1,167.1,2025-04-27T14:58:23.058136,228.2,264,223.78,48781.53
5,2025-04-27,135,SBI,Nepal SBI Bank Limited,404,413.9,403,403.82,85712,34794250.7,409.58,549,270,2025-04-27T14:59:36.358839,403.1,218,405.94,44012.98
6,2025-04-27,137,EBL,Everest Bank Limited,618.1,633,617,620.26,56202,34820918.6,620.63,790,492.1,2025-04-27T14:59:55.899067,621,193,619.56,80290.76
7,2025-04-27,139,NICA,NIC Asia Bank Ltd.,355.5,361,353,354.09,67402,23908041.7,357.67,573,341.6,2025-04-27T14:59:56.584216,354.9,432,354.7,52821.61
8,2025-04-27,140,MBL,Machhapuchhre Bank Limited,221.6,224,218.5,219.51,112359,24760683.2,223.47,295,157.8,2025-04-27T14:59:50.504047,219.1,282,220.37,25510.04
9,2025-04-27,141,LSL,Laxmi Sunrise Bank Limited,210,222.3,208.1,216.32,472700,101868671.3,209.24,300,143.6,2025-04-27T14:59:04.809971,217,412,215.5,52666.38
10,2025-04-27,142,KBL,Kumari Bank Limited,203.9,205,199.8,200.12,481197,96987355.1,203.81,272.9,129.6,2025-04-27T14:59:42.993183,200.9,659,201.55,52483.19
11,2025-04-27,145,SBL,Siddhartha Bank Limited,277.9,277.9,270,270.23,69775,18903246.2,272.84,380,214,2025-04-27T14:59:57.622465,272.9,163,270.91,38075.35
12,2025-04-27,147,SHL,Soaltee Hotel Limited,494,509,493,502.71,109402,54816137.3,495.98,636.5,416.5,2025-04-27T14:59:59.390371,502,275,501.05,51370.06
13,2025-04-27,148,TRH,Taragaon Regency Hotel Limited,1001.4,1010,1001,1002.91,1682,1686519.2,1001.44,1538,700,2025-04-27T14:59:57.933126,1002,28,1002.68,19678.3
14,2025-04-27,149,OHL,Oriental Hotels Limited,856,878.8,838.9,845.55,8278,7063244.8,869.77,1205,704.1,2025-04-27T14:59:40.462662,870,85,853.25,10015.5
15,2025-04-27,152,NHPC,National Hydro Power Company Limited,223,228.3,219.4,226.99,352772,79697124,219.09,290,136,2025-04-27T14:59:59.487971,227,950,225.91,5598.57
16,2025-04-27,153,BPCL,Butwal Power Company Limited,425,448,420,445.66,204846,88909787.2,417.89,536.5,284.4,2025-04-27T14:59:55.449635,444,729,434.03,15192.84
17,2025-04-27,154,CHCL,Chilime Hydropower Company Limited,480.1,498.6,476.3,489.72,101346,49336282.2,477.07,697,426.3,2025-04-27T14:59:51.407202,490.6,409,486.81,43009.16
18,2025-04-27,155,STC,Salt Trading Corporation,5100,5130,5025,5098.69,2950,14935848,5113.72,7000,4210,2025-04-27T14:59:43.99273,5100,80,5062.99,16352.37
19,2025-04-27,156,BBC,Bishal Bazar Company Limited,5949,6248,5800,5915.6,2290,13714209,5840.46,7247,3631,2025-04-27T14:59:59.963374,5900,103,5988.73,237215.56
20,2025-04-27,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,666.2,675,660,661.23,19244,12796191.7,668,930.2,613,2025-04-27T14:59:26.745365,670,229,664.94,17271.86
21,2025-04-27,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,835.1,840,832.1,834.92,11091,9271082.6,835.71,1155,800,2025-04-27T14:59:38.351293,835,167,835.91,26845.57
22,2025-04-27,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,783,784.9,777,778.17,6782,5286756.6,785.9,1099,674,2025-04-27T14:59:53.564966,777.2,84,779.52,14538.44
23,2025-04-27,171,SANIMA,Sanima Bank Limited,308.6,314,305.8,306.45,83669,25785020.7,306.89,382,228,2025-04-27T14:59:46.820075,307.5,273,308.17,41620.59
24,2025-04-27,172,NABBC,Narayani Development Bank Limited,1685.3,1718.1,1606,1633.24,55930,92805533.5,1719.64,2060,421.1,2025-04-27T14:59:59.606017,1625,96,1659.31,4286.73
25,2025-04-27,176,NICL,Nepal Insurance Co. Ltd.,804,804,773,777.55,31767,24634725.5,788.27,1162,773,2025-04-27T14:59:01.792967,785,88,775.48,14702.52
26,2025-04-27,177,RBCL,Rastriya Beema Company Limited,14805,14999.5,14762.1,14794,251,3729384,14850,22493.9,12800,2025-04-27T14:55:54.20063,14766,19,14858.1,39446.2
27,2025-04-27,178,NLICL,National Life Insurance Co. Ltd.,612,647.8,612,618.8,25964,16121648.4,622.65,776.1,521.3,2025-04-27T14:59:48.80143,618.5,119,620.92,32252.68
28,2025-04-27,179,HEI,Himalayan Everest Insurance Limited,592.2,592.2,573,577.54,22085,12776753.8,580.61,810,567.5,2025-04-27T14:59:43.770404,578,130,578.52,14439.41
29,2025-04-27,180,UAIL,United Ajod Insurance Limited,625,643.6,625,627.54,7460,4697272.2,635,837.3,520,2025-04-27T14:59:53.181788,630,84,629.66,13178.34
30,2025-04-27,182,SPIL,Siddhartha Premier Insurance Limited,797,825,797,800.33,15985,12929329.4,813.09,1076,719,2025-04-27T14:59:39.216976,815,158,808.84,22461.66
31,2025-04-27,183,NIL,Neco Insurance Limited,750,751.1,741,741.8,6406,4777011.1,748.98,1050,735,2025-04-27T14:59:37.548698,741,103,745.7,18659.61
32,2025-04-27,184,PRIN,Prabhu Insurance Ltd.,890,899.8,880,883.68,9999,8885561.3,887.38,1113,756,2025-04-27T14:59:23.308308,880,90,888.64,12738.14
33,2025-04-27,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,705,724,705,717.98,6425,4605821.8,717.83,926,613,2025-04-27T14:59:50.119624,720,59,716.85,18830.02
34,2025-04-27,186,IGI,IGI Prudential insurance Limited,560,580.2,551,553.73,20774,11617618.7,557.81,760,508,2025-04-27T14:59:04.601354,551.3,158,559.23,16774.34
35,2025-04-27,187,NLIC,Nepal Life Insurance Co. Ltd.,775,786,767.4,770.21,47091,36463304.4,773.76,1060,566,2025-04-27T14:59:50.83674,768.5,249,774.31,69540.44
36,2025-04-27,188,LICN,Life Insurance Corporation (Nepal) Limited,951,951,931,938.3,32378,30454170.2,948.38,2475,931,2025-04-27T14:59:06.856831,937,313,940.58,46915
37,2025-04-27,192,SICL,Shikhar Insurance Co. Ltd.,794,808,785,791.52,21203,16846988.7,799.54,1120,670,2025-04-27T14:59:09.44338,800,122,794.55,23115.88
38,2025-04-27,194,NFS,Nepal Finance Ltd.,658,678,655,657.36,29907,19741520.1,665.8,2614.9,460,2025-04-27T14:59:59.236004,656,376,660.09,5514.88
39,2025-04-27,204,GUFL,Gurkhas Finance Ltd.,564,580,560,562.14,12859,7262112.9,570.85,1041,548,2025-04-27T14:59:44.404682,563,137,564.74,4879.34
40,2025-04-27,210,CIT,Citizen Investment Trust,1955,1978,1940,1950.38,20566,40050113.4,1949.07,2700,1887,2025-04-27T14:59:41.589013,1951.9,325,1947.39,126418.02
41,2025-04-27,213,BNT,Bottlers Nepal (Terai) Limited,12900,13000,12870,12870,57,735870,12890.05,18100,12300,2025-04-27T14:35:15.40677,12870,5,12910,15572.7
42,2025-04-27,219,UNL,Unilever Nepal Limited,46500,46990,46500,46990,60,2794900,46551.5,56805.8,38400,2025-04-27T13:36:42.228567,46990,6,46581.66,43263.69
43,2025-04-27,227,BFC,Best Finance Company Ltd.,508.5,524,500,502.57,35326,17856588.9,507.78,951.6,369,2025-04-27T14:59:59.601177,504,247,505.48,4475
44,2025-04-27,232,GFCL,Goodwill Finance Limited,649.9,678,634,642.28,25786,16614910.6,643,1353,446,2025-04-27T14:59:29.24411,645,195,644.33,6076.71
45,2025-04-27,235,HDL,Himalayan Distillery Limited,1191,1208,1180,1185.56,36500,43338611.8,1185.74,1749,1136,2025-04-27T14:59:59.718816,1182.5,593,1187.35,36437.02
46,2025-04-27,236,PFL,Pokhara Finance Ltd.,413,414,394,397.09,57494,23037595.3,408,795,339.9,2025-04-27T14:59:57.941866,399,421,400.69,4298.72
47,2025-04-27,238,NMB,NMB Bank Limited,239,242.6,238,239.36,97195,23308170.2,242.06,300,162,2025-04-27T14:59:48.286843,240,363,239.8,43962.55
48,2025-04-27,244,SIFC,Shree Investment Finance Co. Ltd.,505,515,495,501.76,18491,9295108.2,507.16,795,400,2025-04-27T14:59:56.627863,505,124,502.68,5017.6
49,2025-04-27,245,CFCL,Central Finance Co. Ltd.,573,574,551,551.76,29574,16545658.9,565.81,820,373.5,2025-04-27T14:59:44.617032,555,197,559.46,5235.52
50,2025-04-27,250,JFL,Janaki Finance Company Limited,460.6,484,460.6,470.33,34245,16057874.9,469.98,1083.3,400,2025-04-27T14:59:58.749943,472,292,468.91,3247.5
51,2025-04-27,255,PRVU,Prabhu  Bank Limited,203,205,201.1,201.82,178640,36189119.4,202.08,297,132,2025-04-27T14:59:32.235146,202,485,202.58,47513.45
52,2025-04-27,256,SFCL,Samriddhi Finance Company Limited,506.2,518,501,503.67,28807,14599266.4,511.47,1117.9,323.7,2025-04-27T14:59:49.56685,503.9,219,506.79,4124.61
53,2025-04-27,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,497.9,498,472,483.03,33368,16143497.9,489.45,759,365,2025-04-27T14:58:44.068791,483.1,136,483.8,4889.11
54,2025-04-27,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,828.9,828.9,808,809.7,5973,4854225.5,824.43,1232,714,2025-04-27T14:56:04.628229,814,71,812.69,13413.69
55,2025-04-27,273,ICFC,ICFC Finance Limited,595,602.8,585,589.09,23406,13808516.2,590.99,910,504.1,2025-04-27T14:59:07.6059,593,144,589.95,6971.71
56,2025-04-27,274,EDBL,Excel Development Bank Ltd.,598.3,645.9,598.3,604.34,28249,17167172.5,610.48,838.2,346,2025-04-27T14:59:42.435702,605,163,607.7,7552.4
57,2025-04-27,307,NTC,Nepal Doorsanchar Company Limited,894.8,900,892,894.57,9998,8941549.7,891.37,1214,800,2025-04-27T14:59:59.837566,896,156,894.33,161022.6
58,2025-04-27,338,PROFL,Progressive Finance Limited,519,519,505.1,506.17,29113,14818712.3,510.73,865,322,2025-04-27T14:59:29.957273,505.5,186,509,4333.36
59,2025-04-27,341,GBIME,Global IME Bank Limited,217.1,219.7,217,217.59,100069,21811172.2,216.72,302,170,2025-04-27T14:59:58.741528,217.3,400,217.96,82936.28
60,2025-04-27,348,CZBIL,Citizens Bank International Limited,206,206,202,202.86,42212,8574984.2,202.34,296,152.5,2025-04-27T14:59:56.995468,202.4,202,203.14,29960.42
61,2025-04-27,357,PCBL,Prime Commercial Bank Ltd.,242.1,246.3,241,241.31,87866,21363297.7,244.98,329,188.3,2025-04-27T14:59:51.135804,242,233,243.13,46820.36
62,2025-04-27,358,LBBL,Lumbini Bikas Bank Ltd.,383.3,398,383.3,390.16,44251,17310081.6,389.4,560,361,2025-04-27T14:59:52.605194,390,198,391.17,14138.14
63,2025-04-27,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,273,289.9,269,287.11,1612776,459930095,268.14,349,149,2025-04-27T14:59:58.302017,287.1,3405,285.17,11048
64,2025-04-27,371,MDB,Miteri Development Bank Limited,619,629,617,617.87,22045,13676235.1,618.86,843.5,428.5,2025-04-27T14:59:59.213536,618.9,200,620.37,7520.1
65,2025-04-27,385,ALICL,Asian Life Insurance Co. Limited,722,729.5,720,721.45,21791,15743739.9,723.32,831,523,2025-04-27T14:59:57.732817,725,123,722.48,24528.12
66,2025-04-27,393,HLI,Himalayan Life Insurance Limited,421,422,412,417.77,53377,22348837.2,420.38,607,364.1,2025-04-27T14:59:39.289049,417.5,285,418.69,38197.7
67,2025-04-27,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,651.3,651.3,640.2,642.11,15439,9978401.1,650.16,988,595,2025-04-27T14:54:28.664512,645,118,646.31,8975.18
68,2025-04-27,397,ADBL,Agricultural Development Bank Limited,285,285.9,280.3,281.27,26308,7412711,283.45,428.4,226.1,2025-04-27T14:59:43.537871,281,222,281.76,38970.59
69,2025-04-27,401,MLBL,Mahalaxmi Bikas Bank Ltd.,378.1,386,376.5,378.36,88358,33543985.5,381.42,498,311.7,2025-04-27T14:59:57.681961,378,302,379.63,16256.08
70,2025-04-27,403,SJLIC,SuryaJyoti Life Insurance Company Limited,440,443,436,436.93,34297,15033133.9,438.02,644,395.1,2025-04-27T14:59:59.216298,440,316,438.32,21898.7
71,2025-04-27,417,GBBL,Garima Bikas Bank Limited,397,398,391.4,392.22,18806,7414932,396.18,531.4,350.1,2025-04-27T14:59:56.389423,392,91,394.28,22280.13
72,2025-04-27,418,JBBL,Jyoti Bikas Bank Limited,325,331,323.5,328.16,56078,18373088.9,327.78,445,275,2025-04-27T14:59:45.92935,328.8,199,327.63,14425.21
73,2025-04-27,450,CORBL,Corporate Development Bank Limited,2153,2238.9,2112.5,2192.78,10703,23498753.7,2153.37,2842.3,417.3,2025-04-27T14:59:03.811038,2202,176,2195.52,11512.1
74,2025-04-27,459,KSBBL,Kamana Sewa Bikas Bank Limited,445,449.2,435.8,437.56,20378,8981777.8,440.46,564.8,350,2025-04-27T14:59:41.516369,440,143,440.75,15362.06
75,2025-04-27,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,155.7,157.9,155,156,8725,1356658,158.1,222,126.5,2025-04-27T14:59:16.775729,156,12,155.49,28559.76
76,2025-04-27,471,MPFL,Multipurpose Finance Company  Limited,615,619,600,601.28,20838,12606887.8,608.42,936.9,420.1,2025-04-27T14:59:43.727864,600.1,159,604.99,3669.01
77,2025-04-27,472,SADBL,Shangrila Development Bank Ltd.,400,400,392,392.58,40735,16065519.5,394.84,497,293,2025-04-27T14:59:57.72398,392.2,160,394.39,13961.15
78,2025-04-27,473,SHINE,Shine Resunga Development Bank Ltd.,410,410,404.2,404.51,28895,11723525.5,405.8,625,358,2025-04-27T14:59:59.956984,404.6,167,405.72,19722.7
79,2025-04-27,474,MNBBL,Muktinath Bikas Bank Ltd.,361.9,361.9,356,356.39,22090,7891357.3,356.39,482,332.4,2025-04-27T14:59:50.632614,356.3,144,357.23,25114.58
80,2025-04-27,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,740,760,735,743.64,17016,12694389.4,749.2,1004,594.3,2025-04-27T14:58:28.732176,744.5,104,746.02,10001
81,2025-04-27,516,MFIL,Manjushree Finance Ltd.,597,600,583,585.02,12142,7135293.9,585.52,917,495.1,2025-04-27T14:59:43.930495,585,132,587.65,7906.85
