Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-28,132,NIMB,Nepal Investment Mega Bank Limited,221.5,223.3,214,222.41,224249,49430019.1,217.17,295,149.2,2025-05-28T14:59:59.399588,222,561,220.42,75905.41
2,2025-05-28,134,HBL,Himalayan Bank Limited,234,239,228,236.25,91764,21437160.1,231.09,312.1,172.1,2025-05-28T14:59:38.593889,237,258,233.61,51163.75
3,2025-05-28,135,SBI,Nepal SBI Bank Limited,403,410,398,409.49,31797,12919355.7,403.23,549,282.3,2025-05-28T14:59:33.32243,408.1,114,406.3,44630.96
4,2025-05-28,137,EBL,Everest Bank Limited,654,665,643,663.48,157427,103637169.7,654.3,790,511,2025-05-28T14:59:59.910182,661,435,658.31,85885.46
5,2025-05-28,139,NICA,NIC Asia Bank Ltd.,356,376.9,356,371.62,310444,113198808.2,361.45,573,335.5,2025-05-28T14:59:55.720494,371,671,364.63,55436.66
6,2025-05-28,141,LSL,Laxmi Sunrise Bank Limited,229,235,223.3,232.63,297417,68086922.8,226.37,300,147.7,2025-05-28T14:59:46.612714,233,559,228.92,56637.29
7,2025-05-28,147,SHL,Soaltee Hotel Limited,550.6,580,550.6,570.85,315844,181108166.7,561.8,636.5,416.5,2025-05-28T14:59:57.563836,570.2,709,573.41,58333.03
8,2025-05-28,148,TRH,Taragaon Regency Hotel Limited,945,948,933,934.86,5348,5020733.3,932.92,1538,735,2025-05-28T14:59:33.33647,934.1,67,938.8,18343.08
9,2025-05-28,152,NHPC,National Hydro Power Company Limited,218.7,220.8,216.2,217.72,77232,16836636.9,216.46,290,136,2025-05-28T14:59:56.451303,218,297,218,5369.93
10,2025-05-28,154,CHCL,Chilime Hydropower Company Limited,483,505,483,495.14,68368,33898012.5,487.12,697,427,2025-05-28T14:59:57.57894,492,326,495.81,43485.16
11,2025-05-28,155,STC,Salt Trading Corporation,5000,5045,4940,5013.76,4026,20052274,4997.88,7000,4360,2025-05-28T14:57:56.905033,5030,77,4980.69,16079.99
12,2025-05-28,156,BBC,Bishal Bazar Company Limited,5576,5765,5576,5681.95,523,2953686,5680.9,7247,3684.8,2025-05-28T14:49:30.866708,5699,47,5647.58,227846.2
13,2025-05-28,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,802,809.9,790,806.94,10830,8661760.6,812.09,1099,713,2025-05-28T14:59:52.859126,809,124,799.79,15075.95
14,2025-05-28,180,UAIL,United Ajod Insurance Limited,608,609,588,596.22,18537,11005209.5,597.13,837.3,545.2,2025-05-28T14:59:48.771771,596,90,593.68,12520.62
15,2025-05-28,182,SPIL,Siddhartha Premier Insurance Limited,815.1,845,815,833.92,33202,27394596.1,830.34,1076,760,2025-05-28T14:59:58.108167,841,102,825.08,23404.38
16,2025-05-28,183,NIL,Neco Insurance Limited,710,712,703,709.62,10402,7347684.4,714.13,1050,687,2025-05-28T14:59:45.561033,712,72,706.37,19099.65
17,2025-05-28,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,662,676,662,675.28,6673,4487209.5,675.2,926,658.2,2025-05-28T14:57:35.176789,675.2,42,672.44,17710.15
18,2025-05-28,187,NLIC,Nepal Life Insurance Co. Ltd.,760,760,755,757.56,37149,28136856.2,756.59,1060,570.1,2025-05-28T14:59:56.72247,757.1,227,757.4,68398.3
19,2025-05-28,192,SICL,Shikhar Insurance Co. Ltd.,744,752,740,750.41,25793,19159262.2,745.16,1120,675,2025-05-28T14:59:38.423772,751,120,742.8,21915.29
20,2025-05-28,204,GUFL,Gurkhas Finance Ltd.,545,551,530.3,540.36,9418,5082979.8,540.65,1041,528.1,2025-05-28T14:59:50.860621,540,81,539.7,4690.29
21,2025-05-28,213,BNT,Bottlers Nepal (Terai) Limited,12500,12600,12500,12600,60,753050,12622,18100,12300,2025-05-28T12:53:09.717765,12600,6,12550.83,15246
22,2025-05-28,219,UNL,Unilever Nepal Limited,47620,47620,47620,47620,10,476200,46687,56805.8,40138,2025-05-28T12:25:15.461905,47620,1,47620,43843.73
23,2025-05-28,235,HDL,Himalayan Distillery Limited,1192.2,1238,1192.2,1224.18,22491,27414035.3,1216.48,1749,1136,2025-05-28T14:59:51.697264,1220.1,330,1218.88,37623.97
24,2025-05-28,244,SIFC,Shree Investment Finance Co. Ltd.,490,500,490,497.35,8998,4455248.2,494.84,795,411.1,2025-05-28T14:59:54.265796,495.5,70,495.13,4973.5
25,2025-05-28,255,PRVU,Prabhu  Bank Limited,214,220.2,212.1,219.27,406565,87897380.6,214.14,297,137,2025-05-28T14:59:57.551306,218,790,216.19,51621.62
26,2025-05-28,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,487,492,481,489.51,6195,3005264.9,487.35,759,383,2025-05-28T14:59:39.764016,485,43,485.11,4954.7
27,2025-05-28,307,NTC,Nepal Doorsanchar Company Limited,875.2,885,870,874.75,8772,7670992.7,878.94,1214,800,2025-05-28T14:59:56.980701,873.5,172,874.48,157455
28,2025-05-28,341,GBIME,Global IME Bank Limited,240,250,238.4,249.27,735920,180705215.2,241.43,302,170,2025-05-28T14:59:57.482614,248.1,1759,245.55,95011.39
29,2025-05-28,131,NABIL,Nabil Bank Limited,501.9,501.9,494,500.42,66059,32927625.3,496.48,700,450,2025-05-28T14:59:53.599896,501,440,498.45,135398.63
30,2025-05-28,133,SCB,Standard Chartered Bank Limited,637,637,621.3,628.67,13649,8546574.1,627.36,790,549,2025-05-28T14:59:28.13129,626.8,125,626.16,63133.36
31,2025-05-28,140,MBL,Machhapuchhre Bank Limited,230,236,226,234.82,112443,26029536.5,228.27,295,164.2,2025-05-28T14:59:03.057248,235,327,231.49,27289.27
32,2025-05-28,142,KBL,Kumari Bank Limited,214.1,224,213,222.07,985045,216074148.6,215.57,272.9,133.2,2025-05-28T14:59:58.097778,221,1698,219.35,58239.77
33,2025-05-28,145,SBL,Siddhartha Bank Limited,302.8,307.7,297,304.72,81458,24559559.5,302.83,380,237,2025-05-28T14:59:22.266362,304.6,205,301.49,42934.99
34,2025-05-28,149,OHL,Oriental Hotels Limited,905,919,896,906.93,22719,20601336.5,901.48,1205,740,2025-05-28T14:59:56.893953,903.1,185,906.78,10742.54
35,2025-05-28,153,BPCL,Butwal Power Company Limited,531,578,531,562.61,628541,350640652.1,531.72,578,286,2025-05-28T14:59:58.741421,561,2568,557.86,19179.74
36,2025-05-28,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,714.9,714.9,682,694,10399,7184869.4,700.95,930.2,649,2025-05-28T14:59:57.068733,695,94,690.91,18127.83
37,2025-05-28,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,894.97,898.9,878,889.37,19339,17099257.2,894.97,1155,815,2025-05-28T14:59:23.378708,888,186,884.18,28596.32
38,2025-05-28,171,SANIMA,Sanima Bank Limited,320,325.9,318,323.52,176948,56976704.7,320.36,382,240,2025-05-28T14:59:58.712455,324.9,406,321.99,43938.95
39,2025-05-28,172,NABBC,Narayani Development Bank Limited,1512.2,1558,1512.2,1551.99,71960,110725621.7,1543.04,2060,521.4,2025-05-28T14:59:59.578171,1551,61,1538.71,4073.47
40,2025-05-28,176,NICL,Nepal Insurance Co. Ltd.,795,796,780,787.94,6369,5017087.7,794.56,1162,749.7,2025-05-28T14:59:37.829625,789.9,62,787.73,14898.99
41,2025-05-28,177,RBCL,Rastriya Beema Company Limited,14616,14800,14550,14678.65,130,1904583,14616,22493.9,12917,2025-05-28T14:53:02.238444,14800,10,14650.63,39138.64
42,2025-05-28,178,NLICL,National Life Insurance Co. Ltd.,626.2,638.7,626.2,636.96,8529,5407964.9,635.94,776.1,528,2025-05-28T14:59:49.628791,636.7,67,634.06,33199.2
43,2025-05-28,179,HEI,Himalayan Everest Insurance Limited,572,581,560.5,569.14,11324,6399704.6,571,810,555,2025-05-28T14:59:50.520635,569,87,565.14,14229.4
44,2025-05-28,184,PRIN,Prabhu Insurance Ltd.,869.8,869.8,845.4,849.57,12658,10785986.7,854.45,1113,756,2025-05-28T14:59:54.682322,845.4,93,852.1,12246.45
45,2025-05-28,186,IGI,IGI Prudential insurance Limited,538,549,538,547.38,10595,5763487.3,544.83,760,508,2025-05-28T14:59:53.680959,546.5,100,543.98,16581.97
46,2025-05-28,188,LICN,Life Insurance Corporation (Nepal) Limited,915,920,906,911.46,20850,18992939,913.13,2475,900,2025-05-28T14:59:31.023771,911,191,910.93,45573
47,2025-05-28,194,NFS,Nepal Finance Ltd.,620,626,613.5,622.36,12897,7986188.2,619.9,2614.9,505.2,2025-05-28T14:59:52.092097,619.6,152,619.22,5221.25
48,2025-05-28,210,CIT,Citizen Investment Trust,1919,1919,1907,1910.46,13345,25493849,1919.32,2700,1887,2025-05-28T14:59:46.252886,1913,306,1910.36,123830.52
