Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-12-21,131,NABIL,Nabil Bank Limited,500,504.4,493,497,24230,12035693.7,499,562,471,2025-12-21T14:59:56.833512,497,322,496.72,134473.28
2,2025-12-21,132,NIMB,Nepal Investment Mega Bank Limited,191.1,193.9,190,190.2,57982,11080933.5,191.8,247,188.8,2025-12-21T14:59:57.644222,190.2,223,191.1,64912.59
3,2025-12-21,133,SCB,Standard Chartered Bank Limited,625,629.8,624,627,14748,9241718.7,625.4,701,594.9,2025-12-21T14:59:16.016989,627,100,626.64,62965.65
4,2025-12-21,134,HBL,Himalayan Bank Limited,191.6,191.6,186.5,187.1,69777,13084856,187.9,261,184,2025-12-21T14:59:54.180116,187.1,1799,187.52,42250.29
5,2025-12-21,135,SBI,Nepal SBI Bank Limited,388.5,392,382,389,34598,13368278.9,396.06,460,363,2025-12-21T14:59:59.877794,389,171,386.38,44093.63
6,2025-12-21,137,EBL,Everest Bank Limited,653,660,647.1,652,20227,13233405.5,655,780.6,570,2025-12-21T14:59:50.828566,652,133,654.24,89463.37
7,2025-12-21,139,NICA,NIC Asia Bank Ltd.,318,320,315.2,317,26822,8519141.3,317,428.4,304.5,2025-12-21T14:59:46.872395,317,209,317.61,47288.69
8,2025-12-21,140,MBL,Machhapuchhre Bank Limited,216,217.7,215.2,216.2,32206,6976111.5,218.6,272.1,205,2025-12-21T14:59:38.356426,216.2,104,216.6,26130.39
9,2025-12-21,141,LSL,Laxmi Sunrise Bank Limited,215.9,215.9,211,211.5,43180,9150867.4,215,252,201,2025-12-21T14:59:36.017059,211.5,137,211.92,56642.16
10,2025-12-21,142,KBL,Kumari Bank Limited,181,181,178,178.4,88069,15754887,180.5,233.5,175.5,2025-12-21T14:59:48.079283,178.4,313,178.89,46786.94
11,2025-12-21,145,SBL,Siddhartha Bank Limited,355,366,355,360,132362,47982801.8,362,408,261,2025-12-21T14:59:50.905472,360,266,362.51,53260.13
12,2025-12-21,147,SHL,Soaltee Hotel Limited,488,493,480,486,9156,4450123,494.7,619,455,2025-12-21T14:59:39.665941,486,41,486.03,57111.91
13,2025-12-21,148,TRH,Taragaon Regency Hotel Limited,718,718,700,710,4237,2988782.5,718,1259,681.1,2025-12-21T14:58:34.320157,710,30,705.4,13931.05
14,2025-12-21,149,OHL,Oriental Hotels Limited,695,695,686.3,690,2191,1510761.6,694.9,1100,633.1,2025-12-21T14:59:03.004651,690,30,689.53,8173.02
15,2025-12-21,152,NHPC,National Hydro Power Company Limited,186,188,184,185,41269,7670297.9,187,244.5,178.6,2025-12-21T14:59:58.57635,185,130,185.86,4562.91
16,2025-12-21,153,BPCL,Butwal Power Company Limited,747,747,711.2,715.8,91853,66259104.7,733,1065,375.1,2025-12-21T14:59:57.898521,715.8,397,721.36,24402.08
17,2025-12-21,154,CHCL,Chilime Hydropower Company Limited,490,492,488.6,490.9,24182,11841775,491.5,599.6,456,2025-12-21T14:59:27.599391,490.9,194,489.69,43112.79
18,2025-12-21,155,STC,Salt Trading Corporation,5312.1,5399,5312.1,5399,1445,7778521,5400,5800,4832,2025-12-21T14:57:42.657461,5399,30,5383.05,17315.52
19,2025-12-21,156,BBC,Bishal Bazar Company Limited,4790.1,4873,4790.1,4820.1,291,1404670,4873.9,6661.6,4480,2025-12-21T14:59:49.613816,4820.1,25,4827.04,193286.01
20,2025-12-21,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,735.5,744,730,730,10919,8002608.1,744.8,854.4,650,2025-12-21T14:59:56.737056,730,83,732.9,19068.18
21,2025-12-21,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1039.9,1039.9,1018.6,1019,22264,22810466.3,1024,1144.8,821.5,2025-12-21T14:59:58.149422,1019,265,1024.54,32764.37
22,2025-12-21,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,862.4,873,855.6,872,9241,7995825.6,865,1010,759,2025-12-21T14:57:22.062815,872,96,865.25,16291.45
23,2025-12-21,171,SANIMA,Sanima Bank Limited,311,311,308,309,21496,6656282,312,391,285,2025-12-21T14:59:46.974357,309,154,309.65,41966.91
24,2025-12-21,172,NABBC,Narayani Development Bank Limited,1219.2,1219.2,1124.8,1150.1,14786,17291433.7,1244,2060,662,2025-12-21T14:59:58.178548,1150.1,202,1169.44,6037.28
25,2025-12-21,176,NICL,Nepal Insurance Co. Ltd.,514,514,505,505,7336,3723659.8,514.9,1047,489.1,2025-12-21T14:59:57.621915,505,90,507.58,12870.3
26,2025-12-21,177,RBCL,Rastriya Beema Company Limited,14705.1,14989,14700,14710,369,5433543,15000,16900,14024,2025-12-21T14:58:34.782699,14710,25,14725.04,39222.23
27,2025-12-21,178,NLICL,National Life Insurance Co. Ltd.,607,610,595.2,605,9247,5579525.35,607,738,539,2025-12-21T14:59:47.041472,605,72,603.38,33110.07
28,2025-12-21,179,HEI,Himalayan Everest Insurance Limited,488.1,503.9,482.1,503.9,12659,6275395.2,498,710,458,2025-12-21T14:59:54.047301,503.9,55,495.72,12598.29
