Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-25,131,NABIL,Nabil Bank Limited,509.5,510,495,496.75,108411,54020885.7,499.55,700,450,2025-05-25T14:59:57.518689,497,637,498.29,134405.64
2,2025-05-25,139,NICA,NIC Asia Bank Ltd.,370,377.4,359.2,364.6,154179,56447346.7,370.91,573,335.5,2025-05-25T14:59:59.925274,366.8,772,366.11,54389.45
3,2025-05-25,140,MBL,Machhapuchhre Bank Limited,235.4,235.4,224.8,227.93,294951,67687706.5,230.84,295,164.2,2025-05-25T14:59:49.452406,227.1,384,229.48,26488.56
4,2025-05-25,145,SBL,Siddhartha Bank Limited,300,303,292.7,297.98,110871,33104803.6,298.47,380,237,2025-05-25T14:59:59.783555,295.1,270,298.58,41985.32
5,2025-05-25,148,TRH,Taragaon Regency Hotel Limited,953.2,986,940,945.74,13182,12613716.5,966.88,1538,735,2025-05-25T14:59:52.43176,953,131,956.88,18556.56
6,2025-05-25,149,OHL,Oriental Hotels Limited,964,964,901,920.97,58827,54015494.3,947.63,1205,740,2025-05-25T14:59:37.622005,919.1,345,918.2,10908.84
7,2025-05-25,152,NHPC,National Hydro Power Company Limited,223.5,223.5,216.5,218.68,76568,16746684.1,219.4,290,136,2025-05-25T14:59:58.63375,218.5,229,218.71,5393.61
8,2025-05-25,153,BPCL,Butwal Power Company Limited,462,478.3,461.3,476.41,209549,98849784.1,458.49,555,286,2025-05-25T14:59:57.070603,477,579,471.72,16241.12
9,2025-05-25,155,STC,Salt Trading Corporation,4990,5020,4990,5004.54,2473,12366547,5003.63,7000,4360,2025-05-25T14:58:04.662693,5020,65,5000.62,16050.42
10,2025-05-25,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,714,720,699.9,715.38,68780,48952771.5,700.04,930.2,649,2025-05-25T14:59:47.198219,713.9,403,711.72,18686.3
11,2025-05-25,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,915,921.9,900.1,917.77,72131,65839385.6,899.91,1155,815,2025-05-25T14:59:47.54675,917.9,491,912.77,29509.48
12,2025-05-25,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,825,839.9,820,832.46,48094,39921746,821.1,1099,713,2025-05-25T14:59:39.927403,839.9,346,830.07,15552.73
13,2025-05-25,171,SANIMA,Sanima Bank Limited,324,328,319,321.93,212212,68319191.3,322.79,382,240,2025-05-25T14:59:48.994635,323,493,321.93,43723.01
14,2025-05-25,176,NICL,Nepal Insurance Co. Ltd.,817.2,817.2,799,803.27,13349,10772610.5,801.27,1162,749.7,2025-05-25T14:52:21.196115,805,105,806.99,15188.86
15,2025-05-25,178,NLICL,National Life Insurance Co. Ltd.,641.9,642,630,634.69,24293,15377011.5,631.09,776.1,528,2025-05-25T14:59:04.911861,634,126,632.98,33080.89
16,2025-05-25,180,UAIL,United Ajod Insurance Limited,602.24,614,598,599.61,17170,10386089.7,602.24,837.3,545.2,2025-05-25T14:59:39.104521,598,93,604.89,12591.81
17,2025-05-25,184,PRIN,Prabhu Insurance Ltd.,881.8,881.8,865.1,866.24,8187,7106011.6,865.72,1113,756,2025-05-25T14:58:54.933513,866.3,52,867.96,12486.75
18,2025-05-25,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,681.9,681.9,671.1,673.75,6267,4215201.5,671.14,926,658.2,2025-05-25T14:57:31.836192,675.8,61,672.6,17670.02
19,2025-05-25,186,IGI,IGI Prudential insurance Limited,560.7,560.7,544,548.28,27758,15202347.2,553.84,760,508,2025-05-25T14:58:59.732611,545.1,142,547.67,16609.24
20,2025-05-25,192,SICL,Shikhar Insurance Co. Ltd.,755,763,752.1,754.86,9483,7182002.7,755.85,1120,675,2025-05-25T14:58:35.196986,754.5,84,757.35,22045.25
21,2025-05-25,195,BNL,Bottlers Nepal (Balaju) Limited,16900,16900,16505,16510,55,917700,16840,22500,14900,2025-05-25T14:06:36.062746,16510,4,16685.45,32176.12
22,2025-05-25,204,GUFL,Gurkhas Finance Ltd.,555,565,545,547.26,7166,3952978.4,552.94,1041,528.1,2025-05-25T14:59:57.085939,546.5,60,551.62,4750.18
23,2025-05-25,213,BNT,Bottlers Nepal (Terai) Limited,12700,12700,12560,12560,60,756850,12550.98,18100,12300,2025-05-25T14:52:27.938907,12560,6,12614.16,15197.6
24,2025-05-25,219,UNL,Unilever Nepal Limited,46717,46717,46714,46714,30,1401470,46700.25,56805.8,39351,2025-05-25T14:34:50.688061,46714,3,46715.66,43009.58
