Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-04-16,131,NABIL,Nabil Bank Limited,497,497,488,489.31,43376,21240560.5,487.96,700,419,2025-04-16T14:59:36.154189,490,423,489.68,132392.6
2,2025-04-16,132,NIMB,Nepal Investment Mega Bank Limited,217,217,210,212.56,31308,6662656,212.79,295,147.4,2025-04-16T14:59:38.816766,212.5,198,212.81,72543.74
3,2025-04-16,133,SCB,Standard Chartered Bank Limited,643,643,632.1,634.32,13474,8562541.3,631.07,790,511,2025-04-16T14:59:53.806468,634.2,118,635.48,63700.75
4,2025-04-16,134,HBL,Himalayan Bank Limited,237,237.6,230.3,232.38,42385,9918677.1,233.01,312.1,167.1,2025-04-16T14:59:57.836764,231,195,234.01,50325.64
5,2025-04-16,135,SBI,Nepal SBI Bank Limited,428.6,430,418,428.86,39718,16909983.9,420.25,549,268.6,2025-04-16T14:59:27.758727,429.8,191,425.75,46742.13
6,2025-04-16,137,EBL,Everest Bank Limited,620,620,608.2,613.88,27536,16873480.5,609.08,790,492.1,2025-04-16T14:59:56.411437,613,137,612.77,79464.89
7,2025-04-16,139,NICA,NIC Asia Bank Ltd.,385,385,377,377.87,26891,10165385,378.78,573,341.6,2025-04-16T14:59:51.972186,377.9,151,378.02,56369.01
8,2025-04-16,140,MBL,Machhapuchhre Bank Limited,229,230.6,225,227.89,46859,10671366.5,227.08,295,157.8,2025-04-16T14:59:38.523721,229.9,137,227.73,26483.91
9,2025-04-16,141,LSL,Laxmi Sunrise Bank Limited,222.8,223,216.7,222.49,126738,27868588.9,218.47,300,143.6,2025-04-16T14:59:53.095222,222.4,221,219.89,54168.56
10,2025-04-16,142,KBL,Kumari Bank Limited,212,212,207.5,208.36,215275,44900379.1,208.22,272.9,129.6,2025-04-16T14:59:42.860579,208.9,331,208.57,54644.2
11,2025-04-16,145,SBL,Siddhartha Bank Limited,290,290,284.6,288.77,15599,4464954.5,284.95,380,214,2025-04-16T14:58:53.686335,290,107,286.23,40687.64
12,2025-04-16,147,SHL,Soaltee Hotel Limited,507.9,510,495.9,505.39,75902,38338935,506.04,636.5,416.5,2025-04-16T14:59:56.50911,504.1,215,505.11,51643.92
13,2025-04-16,148,TRH,Taragaon Regency Hotel Limited,1070,1070,1043,1062.5,2411,2549013.1,1066,1538,695.1,2025-04-16T14:59:18.770539,1050.1,27,1057.24,20847.53
14,2025-04-16,149,OHL,Oriental Hotels Limited,886.3,890,873.1,884.41,4705,4155281,885.9,1205,704,2025-04-16T14:51:50.828287,880,32,883.16,10475.79
15,2025-04-16,152,NHPC,National Hydro Power Company Limited,210,216.7,210,215.85,149781,32099452.4,210.76,290,136,2025-04-16T14:59:57.254592,216,424,214.3,5323.81
16,2025-04-16,153,BPCL,Butwal Power Company Limited,400.2,410,400.2,408.71,5608,2284594.1,403.34,536.5,284.4,2025-04-16T14:59:50.202393,409.2,78,407.38,13933.19
17,2025-04-16,154,CHCL,Chilime Hydropower Company Limited,485.1,485.5,474.5,483.45,72379,34683107.4,484.11,697,426.3,2025-04-16T14:59:55.436712,483,261,479.18,42458.5
18,2025-04-16,155,STC,Salt Trading Corporation,5170.3,5273.7,5170.3,5241.27,314,1643502,5250.45,7000,4210,2025-04-16T14:59:59.349574,5248.7,15,5234.08,16809.65
19,2025-04-16,156,BBC,Bishal Bazar Company Limited,6083.4,6083.4,5920,5972,579,3468454,5964.17,7247,3631,2025-04-16T14:49:30.254835,6043,37,5990.42,239477.2
20,2025-04-16,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,670.1,693.9,670.1,688.35,18452,12706772.8,680.83,930.2,613,2025-04-16T14:59:48.449312,692.9,141,688.63,17980.25
21,2025-04-16,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,854,855,840.5,845.07,13832,11757156.8,844.54,1155,800,2025-04-16T14:59:49.968666,845,107,849.99,27171.92
22,2025-04-16,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,782,795,781,792.8,18003,14208624.2,781.53,1099,670,2025-04-16T14:59:40.421404,791.1,108,789.23,14811.77
23,2025-04-16,171,SANIMA,Sanima Bank Limited,309,309,300,303.72,70491,21422016.5,303.14,382,228,2025-04-16T14:59:53.237943,305,183,303.89,41249.81
24,2025-04-16,172,NABBC,Narayani Development Bank Limited,1768.5,1834.1,1745.1,1795.21,44715,80096902.3,1804.55,2060,400,2025-04-16T14:59:13.755619,1761,67,1791.27,4711.84
25,2025-04-16,176,NICL,Nepal Insurance Co. Ltd.,825,825,808,815.91,12928,10539707.8,811.43,1162,795.3,2025-04-16T14:58:20.650288,816,65,815.26,15427.87
26,2025-04-16,177,RBCL,Rastriya Beema Company Limited,15200,15440,15150,15440,242,3689075.9,15304.5,22493.9,12800,2025-04-16T14:59:38.491239,15440,21,15244.11,41168.68
27,2025-04-16,178,NLICL,National Life Insurance Co. Ltd.,636.8,637,627,632.02,23237,14690432.4,629.48,776.1,521.3,2025-04-16T14:59:27.745597,631,89,632.2,32941.72
28,2025-04-16,179,HEI,Himalayan Everest Insurance Limited,600,605,600,603.95,9262,5573270,598.96,810,558,2025-04-16T14:59:32.261613,604,48,601.73,15099.7
29,2025-04-16,180,UAIL,United Ajod Insurance Limited,638,641,634,637.33,11402,7259393.7,634.66,837.3,515.5,2025-04-16T14:59:55.834465,637,85,636.67,13383.93
30,2025-04-16,182,SPIL,Siddhartha Premier Insurance Limited,859.2,859.2,842,847.99,2778,2350886.6,842.41,1076,711.5,2025-04-16T14:57:42.421112,850,47,846.25,23799.26
31,2025-04-16,183,NIL,Neco Insurance Limited,768,768,754,759.03,4315,3266459,755.17,1050,735,2025-04-16T14:59:22.035292,760,30,757,19093.03
32,2025-04-16,184,PRIN,Prabhu Insurance Ltd.,940,940,912.5,915.36,6968,6393549.3,921.94,1113,740,2025-04-16T14:59:35.183303,915,47,917.55,13194.81
33,2025-04-16,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,722,726,722,725.04,6520,4720306.5,722.01,926,602,2025-04-16T14:59:25.075601,724,32,723.97,19015.18
34,2025-04-16,186,IGI,IGI Prudential insurance Limited,578,580,570.5,574.69,15668,9010977.4,571.56,760,508,2025-04-16T14:59:49.890372,575,91,575.11,17409.28
35,2025-04-16,187,NLIC,Nepal Life Insurance Co. Ltd.,780.1,785,778,780.28,16834,13146809,781.2,1060,566,2025-04-16T14:59:53.082195,780.2,159,780.96,70449.63
36,2025-04-16,188,LICN,Life Insurance Corporation (Nepal) Limited,975.3,985,964,965.92,46716,45290008.2,978.82,2475,964,2025-04-16T14:59:35.769058,965,387,969.47,48296
37,2025-04-16,192,SICL,Shikhar Insurance Co. Ltd.,787.2,787.2,771.9,772.3,8575,6660937.1,771.86,1120,669.4,2025-04-16T14:59:04.47778,772,75,776.78,22554.57
38,2025-04-16,194,NFS,Nepal Finance Ltd.,704,704,685,685.74,17222,11850608.7,692.49,2614.9,426,2025-04-16T14:59:55.841826,685.3,223,688.1,5752.97
39,2025-04-16,195,BNL,Bottlers Nepal (Balaju) Limited,17952,17952,17952,17952,10,179520,17600,22500,14900,2025-04-16T14:49:01.667321,17952,1,17952,34986.42
40,2025-04-16,204,GUFL,Gurkhas Finance Ltd.,606,618,582,593.16,10843,6415670.3,594.96,1041,548,2025-04-16T14:59:53.837959,594,96,591.68,5148.59
41,2025-04-16,210,CIT,Citizen Investment Trust,1972,1972,1950,1961.51,8319,16333457.7,1961.06,2700,1887,2025-04-16T14:59:55.74116,1960,175,1963.39,127139.44
42,2025-04-16,213,BNT,Bottlers Nepal (Terai) Limited,13012,13114,13011,13113,75,981465,13246,18100,12250,2025-04-16T14:24:05.778046,13113,4,13086.2,15866.73
43,2025-04-16,219,UNL,Unilever Nepal Limited,45530,46500.2,45530,46500.2,30,1380312,46450,56805.8,38400,2025-04-16T12:51:15.152979,46500.2,3,46010.4,42812.73
44,2025-04-16,227,BFC,Best Finance Company Ltd.,569.7,569.7,548.9,558.3,10843,6033847.7,559.93,951.6,343,2025-04-16T14:59:38.849532,557,101,556.47,4971.24
45,2025-04-16,232,GFCL,Goodwill Finance Limited,680,680,668.4,670.26,10581,7110607.4,678.48,1353,438,2025-04-16T14:58:53.470667,670,84,672.01,6341.43
46,2025-04-16,235,HDL,Himalayan Distillery Limited,1195,1225,1195,1200.8,21085,25408367.6,1204.82,1749,1136,2025-04-16T14:59:56.736101,1203,346,1205.04,36905.41
47,2025-04-16,236,PFL,Pokhara Finance Ltd.,425,425,416,418.1,13732,5739071.1,419.71,795,339.9,2025-04-16T14:59:42.184571,418,126,417.93,4526.17
48,2025-04-16,238,NMB,NMB Bank Limited,254,256,251.3,254.39,37015,9409425.8,252.34,300,162,2025-04-16T14:59:51.277896,253.5,170,254.2,46723.06
49,2025-04-16,244,SIFC,Shree Investment Finance Co. Ltd.,528,543,525.5,533.23,14387,7607397.8,536.15,795,366.4,2025-04-16T14:59:32.879862,532,80,528.76,5332.3
50,2025-04-16,245,CFCL,Central Finance Co. Ltd.,603,616,600,602.31,26764,16194419.4,610.31,820,354,2025-04-16T14:59:51.999274,601.1,152,605.08,5715.17
