Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-20,131,NABIL,Nabil Bank Limited,482.6,489,481,488.16,43243,20974647.6,482.58,700,450,2025-05-20T14:59:34.413318,489,427,485.04,132081.44
2,2025-05-20,134,HBL,Himalayan Bank Limited,213,228,213,222.77,37576,8292836.1,216.69,312.1,172.1,2025-05-20T14:59:58.352519,224,180,220.69,48244.44
3,2025-05-20,137,EBL,Everest Bank Limited,620,630,616.5,629.31,45118,28108814.3,623.15,790,511,2025-05-20T14:59:59.653798,629.8,236,623,81462.26
4,2025-05-20,142,KBL,Kumari Bank Limited,199.3,203.9,195.2,203.08,343769,69002224.9,197.55,272.9,133.2,2025-05-20T14:59:57.85911,203,631,200.72,53259.48
5,2025-05-20,148,TRH,Taragaon Regency Hotel Limited,1000,1040,990,1016.34,44326,45173708.6,1003.46,1538,725,2025-05-20T14:59:53.141144,1021,164,1019.12,19941.81
6,2025-05-20,149,OHL,Oriental Hotels Limited,946,1010.8,940,986.85,102675,99170700.6,959.55,1205,740,2025-05-20T14:59:43.337629,990,458,965.86,11689.19
7,2025-05-20,152,NHPC,National Hydro Power Company Limited,217,228,214.4,226.83,172524,38085687.6,218.76,290,136,2025-05-20T14:59:47.151344,227.5,470,220.75,5594.62
8,2025-05-20,154,CHCL,Chilime Hydropower Company Limited,489,496,480,494.81,44746,21916331.6,482.12,697,427,2025-05-20T14:59:53.813623,496,268,489.79,43456.18
9,2025-05-20,156,BBC,Bishal Bazar Company Limited,5718,5718,5600,5698,380,2146540,5609.64,7247,3684.8,2025-05-20T14:46:12.469073,5698,35,5648.78,228489.8
10,2025-05-20,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,781,799,780.1,795.64,8020,6342858.5,783.81,1099,713,2025-05-20T14:59:40.468964,799,68,790.88,14864.83
11,2025-05-20,176,NICL,Nepal Insurance Co. Ltd.,790.8,795,775.1,790.81,5600,4401091.1,778.37,1162,749.7,2025-05-20T14:59:57.846219,795,66,785.9,14953.25
12,2025-05-20,177,RBCL,Rastriya Beema Company Limited,14451,14675.1,14415,14670.03,140,2041062,14502.5,22493.9,12917,2025-05-20T14:56:40.321577,14670,13,14579.01,39115.65
13,2025-05-20,178,NLICL,National Life Insurance Co. Ltd.,638,639.7,620,637.79,16312,10316112.7,632.12,776.1,528,2025-05-20T14:59:55.864567,639.7,85,632.42,33242.46
14,2025-05-20,179,HEI,Himalayan Everest Insurance Limited,567,589.8,565,585.68,14582,8389007.4,567.83,810,555,2025-05-20T14:59:50.810342,589.8,88,575.29,14642.92
15,2025-05-20,182,SPIL,Siddhartha Premier Insurance Limited,814,824,799,818.43,15129,12198545.7,813.49,1076,760,2025-05-20T14:59:52.316199,824,104,806.3,22969.65
16,2025-05-20,183,NIL,Neco Insurance Limited,689.1,705,689,700.91,10133,7030799.8,692.79,1050,687,2025-05-20T14:58:46.550747,704,94,693.85,18865.22
17,2025-05-20,184,PRIN,Prabhu Insurance Ltd.,869,880,860,873.7,4787,4160290.8,861.29,1113,756,2025-05-20T14:59:33.31678,880,54,869.08,12594.28
18,2025-05-20,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,676.9,678,660.1,676.38,10056,6730481.4,664.15,926,658.2,2025-05-20T14:59:10.52791,677,62,669.3,17739
19,2025-05-20,186,IGI,IGI Prudential insurance Limited,545.2,568,540,564.91,22427,12483553.4,551.48,760,508,2025-05-20T14:59:48.977372,564,161,556.63,17113.01
20,2025-05-20,188,LICN,Life Insurance Corporation (Nepal) Limited,930,933,900,930.47,24388,22305762.7,920.5,2475,900,2025-05-20T14:59:50.419391,930,256,914.62,46523.5
21,2025-05-20,192,SICL,Shikhar Insurance Co. Ltd.,740,757.6,740,753.31,9362,7038452.7,742.77,1120,675,2025-05-20T14:59:17.440569,750,70,751.81,21999.98
22,2025-05-20,204,GUFL,Gurkhas Finance Ltd.,540,555,533.7,552.03,12514,6842194.6,542.93,1041,528.1,2025-05-20T14:59:55.181273,555,106,546.76,4791.59
23,2025-05-20,210,CIT,Citizen Investment Trust,1906,1930,1905.1,1923.76,10236,19632598,1906.95,2700,1887,2025-05-20T14:59:59.880879,1924,237,1917.99,124692.59
24,2025-05-20,213,BNT,Bottlers Nepal (Terai) Limited,12500,12649,12500,12583,60,753980,12450,18100,12300,2025-05-20T14:59:30.006744,12550,5,12566.33,15225.43
25,2025-05-20,227,BFC,Best Finance Company Ltd.,477.2,499.8,477.2,496.44,19992,9856922.4,486.78,951.6,396.9,2025-05-20T14:59:51.998675,497,151,493.04,4420.42
26,2025-05-20,232,GFCL,Goodwill Finance Limited,645,660,643,656.69,16327,10641057.1,647.62,1353,446,2025-05-20T14:58:08.154436,659.9,109,651.74,6213.04
27,2025-05-20,236,PFL,Pokhara Finance Ltd.,411,423,405,420.32,19324,8054216.5,411.01,794.9,339.9,2025-05-20T14:59:56.43949,417,156,416.79,4550.2
28,2025-05-20,238,NMB,NMB Bank Limited,235,245.8,235,244.63,45792,11035586.2,238.14,300,179.3,2025-05-20T14:59:19.966387,245.8,206,240.99,44930.47
29,2025-05-20,132,NIMB,Nepal Investment Mega Bank Limited,207,211,204,210.04,90424,18803877.2,205.69,295,149.2,2025-05-20T14:59:54.210658,210.5,393,207.95,71683.7
30,2025-05-20,133,SCB,Standard Chartered Bank Limited,609,611,600,608.71,12273,7440571.4,603.24,790,549,2025-05-20T14:58:44.551466,609,144,606.25,61128.9
31,2025-05-20,135,SBI,Nepal SBI Bank Limited,375,392,373,387.52,23367,8971435.5,378.67,549,282.3,2025-05-20T14:58:52.002574,388.9,114,383.93,42236.42
32,2025-05-20,139,NICA,NIC Asia Bank Ltd.,340,344.9,337,341.04,129948,44233760.9,340.13,573,335.5,2025-05-20T14:59:51.918676,342.8,520,340.39,50874.87
33,2025-05-20,140,MBL,Machhapuchhre Bank Limited,213.7,223,210.3,218.77,66597,14527391.3,213.4,295,164.2,2025-05-20T14:59:59.417501,217,193,218.13,25424.04
34,2025-05-20,141,LSL,Laxmi Sunrise Bank Limited,208,214.2,205,213.87,189153,39389280.7,207.77,300,147.7,2025-05-20T14:59:03.150208,213.9,289,208.24,52069.89
35,2025-05-20,145,SBL,Siddhartha Bank Limited,275.1,287.5,275.1,286.06,35429,9962259.5,277.07,380,237,2025-05-20T14:59:59.046417,286,134,281.18,40305.8
36,2025-05-20,147,SHL,Soaltee Hotel Limited,561,590.1,556.1,582.63,505312,292809184.8,555.34,636.5,416.5,2025-05-20T14:59:55.047934,584.5,1494,579.46,59536.79
37,2025-05-20,153,BPCL,Butwal Power Company Limited,442,475,440.1,472.19,164473,75883140.1,450.92,555,286,2025-05-20T14:59:51.256671,471,585,461.37,16097.26
38,2025-05-20,155,STC,Salt Trading Corporation,5080,5100,5003,5083.12,1357,6874399.4,5060.78,7000,4360,2025-05-20T14:59:52.767944,5090,54,5065.88,16302.44
39,2025-05-20,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,690,690,670.3,688.76,8965,6124210.6,680.65,930.2,649,2025-05-20T14:59:38.886814,689,72,683.12,17990.96
40,2025-05-20,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,872,890,860.1,880.38,17798,15557550.1,872.92,1155,815,2025-05-20T14:59:52.924565,890,210,874.11,28307.26
41,2025-05-20,171,SANIMA,Sanima Bank Limited,308,315,305,312.27,72557,22532612.3,306.93,382,240,2025-05-20T14:59:36.309648,314.9,247,310.55,42411.03
42,2025-05-20,172,NABBC,Narayani Development Bank Limited,1540.5,1571,1510.2,1568.08,48624,74934235.7,1571.86,2060,521.1,2025-05-20T14:59:36.493039,1550.6,48,1541.09,4115.7
43,2025-05-20,180,UAIL,United Ajod Insurance Limited,607,621,591,619.43,85220,51390404.7,598.69,837.3,545.2,2025-05-20T14:59:20.768402,620,187,603.03,13008.03
44,2025-05-20,187,NLIC,Nepal Life Insurance Co. Ltd.,768,768,750,761.61,35268,26663768.2,753.41,1060,570.1,2025-05-20T14:59:58.255497,764,336,756.03,68763.96
45,2025-05-20,194,NFS,Nepal Finance Ltd.,610,635.8,602.2,629.41,27174,16879094.3,608.01,2614.9,487.1,2025-05-20T14:59:50.811618,628,242,621.14,5280.4
46,2025-05-20,235,HDL,Himalayan Distillery Limited,1215,1232,1215,1226.84,25241,30889469,1215.69,1749,1136,2025-05-20T14:59:59.451968,1227.1,402,1223.78,37705.72
47,2025-05-20,244,SIFC,Shree Investment Finance Co. Ltd.,495,512,494,508.79,11052,5561948.3,495.32,795,409.3,2025-05-20T14:59:57.802912,510,88,503.25,5087.9
48,2025-05-20,245,CFCL,Central Finance Co. Ltd.,520,540,520,538.78,23444,12441395.6,525.45,820,380,2025-05-20T14:59:59.717172,540,148,530.68,5112.35
49,2025-05-20,255,PRVU,Prabhu  Bank Limited,200,206,198,204.58,241079,48437397.1,199.61,297,137,2025-05-20T14:59:53.607409,204.5,472,200.91,48163.23
50,2025-05-20,273,ICFC,ICFC Finance Limited,614.5,632.9,603,628.21,23990,14871760.2,607.2,910,504.1,2025-05-20T14:59:59.762968,628.5,185,619.91,7434.68
51,2025-05-20,274,EDBL,Excel Development Bank Ltd.,591.5,616,584.1,603.99,27384,16463773.1,591.4,838.2,367.7,2025-05-20T14:58:54.956745,610,170,601.21,7548.03
52,2025-05-20,338,PROFL,Progressive Finance Limited,502.9,512.9,486,504.84,17840,8927061,493.47,865,330,2025-05-20T14:59:57.98736,509,126,500.39,4321.97
53,2025-05-20,348,CZBIL,Citizens Bank International Limited,200,207.5,198,206.07,61067,12467563.7,201.08,296,160.1,2025-05-20T14:59:57.33169,207,202,204.16,30434.51
54,2025-05-20,357,PCBL,Prime Commercial Bank Ltd.,242,252,236.1,250.73,97425,24142200.2,243.68,329,190.1,2025-05-20T14:59:55.820576,252,278,247.8,48648.08
55,2025-05-20,358,LBBL,Lumbini Bikas Bank Ltd.,454.6,487,454.6,478.69,246390,117098230.1,463.71,560,367,2025-05-20T14:59:58.549899,477,574,475.25,17346.19
56,2025-05-20,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,289.5,295.9,278.1,293.56,297252,85908821.6,283.9,349,149,2025-05-20T14:59:58.843128,293.8,860,289.01,11296.2
57,2025-05-20,371,MDB,Miteri Development Bank Limited,604,623,600.2,619.59,15420,9472242.6,605.32,843.5,470,2025-05-20T14:59:47.161853,623,121,614.28,7541.03
58,2025-05-20,385,ALICL,Asian Life Insurance Co. Limited,718,732,714,730.34,27001,19487808.2,718.63,831,542.1,2025-05-20T14:59:57.85237,731.4,143,721.74,24830.37
59,2025-05-20,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,633.1,633.1,617.4,627.23,4730,2945936.1,620.72,988,608.2,2025-05-20T14:59:45.998485,628,58,622.81,8767.2
60,2025-05-20,397,ADBL,Agricultural Development Bank Limited,282,290.7,280,289.4,29990,8586259.2,282.78,428.4,249.9,2025-05-20T14:59:52.718173,290.7,190,286.3,40097.02
61,2025-05-20,418,JBBL,Jyoti Bikas Bank Limited,330,340,327.6,338.93,31855,10677711.4,331.42,445,279.1,2025-05-20T14:59:56.837529,339,163,335.19,14898.64
62,2025-05-20,450,CORBL,Corporate Development Bank Limited,2100,2283,2058,2206.81,9927,21773234.2,2105.27,2842.3,462.1,2025-05-20T14:59:38.056197,2210,218,2193.33,11585.75
63,2025-05-20,459,KSBBL,Kamana Sewa Bikas Bank Limited,451,460,445,455.98,46326,20968631.3,448.04,564.8,362,2025-05-20T14:59:49.952569,459,182,452.63,16008.76
64,2025-05-20,472,SADBL,Shangrila Development Bank Ltd.,395.7,421,395.7,417.55,95941,39591675.4,403.73,497,303.4,2025-05-20T14:59:33.845618,417,254,412.66,14849.15
65,2025-05-20,474,MNBBL,Muktinath Bikas Bank Ltd.,363.1,367,358,366.04,24152,8756422,362.62,482,336,2025-05-20T14:59:55.050187,366,170,362.55,25794.61
66,2025-05-20,579,JBBLPO,Jyoti Bikash  Bank Ltd. Promoter Share,187,187,187,187,11184,2091408,187,204,144,2025-05-20T14:28:30.170693,187,1,187,18.7
67,2025-05-20,587,RLFL,Reliance Finance Ltd.,484.9,495,476.1,491.52,25013,12102431.7,478.85,838,392.4,2025-05-20T14:59:50.637805,495,153,483.84,5512.16
68,2025-05-20,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1022.5,1030,1003,1021.87,2845,2896801.8,1004.42,1285,914.4,2025-05-20T14:59:57.777867,1030,70,1018.2,4166.09
69,2025-05-20,610,RIDI,Ridi Power Company Limited,265.8,272.2,258.5,269.85,232096,62081011.6,260.67,311,157.9,2025-05-20T14:59:57.176776,269.9,717,267.47,6269.56
70,2025-05-20,686,BARUN,Barun Hydropower Co. Ltd.,528,549,528,539.77,120516,65387802.3,538.36,589,230.3,2025-05-20T14:59:57.754242,540,376,542.56,2892.17
71,2025-05-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,828.8,829,806.6,824.41,1508,1235254.9,813.5,1174,770,2025-05-20T14:58:28.01171,826,31,819.13,6142.19
72,2025-05-20,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,930.1,962,930,958.78,3208,3056782.1,946.4,1447,817,2025-05-20T14:59:57.51579,954,47,952.86,3066.35
73,2025-05-20,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1151,1285,1151,1266.22,3531,4200049.7,1174.3,1716,933.2,2025-05-20T14:48:12.056686,1259.3,77,1189.47,7956.39
74,2025-05-20,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1375,1402.5,1350.2,1375,354,486145.1,1375,1860.4,1274,2025-05-20T14:59:44.439801,1375,10,1373.29,2338.76
75,2025-05-20,697,API,Api Power Company Ltd.,297.4,305.9,287.1,303.64,220781,65894599.1,291.65,390,163.8,2025-05-20T14:59:57.197447,302,816,298.46,18448.95
76,2025-05-20,2751,KKHC,Khanikhola Hydropower Co. Ltd.,349.9,357,340.5,352,28034,9864978.5,344.32,475,213,2025-05-20T14:59:26.951125,352,120,351.89,1639.31
77,2025-05-20,2754,DHPL,Dibyashwori Hydropower Ltd.,337.6,374,337.6,359.36,66730,23508767.6,344.41,427.2,185.3,2025-05-20T14:59:48.97142,357,232,352.29,948.71
78,2025-05-20,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1082,1090,1070.1,1089.28,2712,2940960.3,1081.2,1739,1059.3,2025-05-20T14:59:25.422822,1090,57,1084.42,13027.29
79,2025-05-20,2759,SPDL,Synergy Power Development Ltd.,352.1,376,352,372.04,118257,43343422.4,358.91,419.9,227.8,2025-05-20T14:59:53.610133,373,530,366.51,4501.17
80,2025-05-20,2767,HPPL,Himalayan Power Partner Ltd.,490,520,490,508.99,90807,45939438.2,492.95,711,250,2025-05-20T14:59:57.357024,509,358,505.9,5422.87
81,2025-05-20,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1183,1209,1183,1201.93,1352,1621203,1195.43,1851,1130.2,2025-05-20T14:59:54.284158,1201,95,1199.11,4446.22
82,2025-05-20,2770,SEF,Siddhartha Equity Fund,9.8,9.8,9.8,9.8,3500,34300,9.8,10.49,7.8,2025-05-20T14:27:47.046937,9.8,2,9.8,1470
83,2025-05-20,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2264.1,2316,2264.1,2312.65,1064,2434782.2,2299.92,4026.2,1502,2025-05-20T14:59:54.260216,2310,44,2288.32,2831.69
84,2025-05-20,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,812.5,825,812.5,822.5,1268,1037074.5,810.63,1190,744,2025-05-20T14:55:29.880696,825,31,817.88,3995.38
85,2025-05-20,250,JFL,Janaki Finance Company Limited,476,490,470,488.12,17814,8602276.5,476.48,1083.3,400,2025-05-20T14:59:51.801887,490,164,482.89,3370.34
86,2025-05-20,256,SFCL,Samriddhi Finance Company Limited,485,500,480,499.51,17536,8691386.8,486.52,1117.9,333.3,2025-05-20T14:59:49.892552,500,140,495.63,4090.54
87,2025-05-20,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,476,499.9,470.1,493.69,13873,6755638.8,475.84,759,382.2,2025-05-20T14:59:40.21377,493,82,486.96,4997.01
88,2025-05-20,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,802,813.6,785,812.81,7875,6297667.5,793.1,1232,781,2025-05-20T14:58:57.596163,813,75,799.7,13465.21
89,2025-05-20,307,NTC,Nepal Doorsanchar Company Limited,865,870,852.5,869.4,21691,18772273.5,864.85,1214,800,2025-05-20T14:59:18.745639,869,245,865.44,156492
90,2025-05-20,341,GBIME,Global IME Bank Limited,218,222.5,216,221.72,102268,22504791,218.72,302,170,2025-05-20T14:59:58.977876,222,475,220.05,84510.47
91,2025-05-20,393,HLI,Himalayan Life Insurance Limited,400.1,415,400.1,410.82,70146,28597027.5,406.78,607,364.1,2025-05-20T14:59:59.857144,410.1,373,407.67,37562.25
92,2025-05-20,401,MLBL,Mahalaxmi Bikas Bank Ltd.,390,400,384.5,396.96,85393,33522687.3,389.55,498,311.7,2025-05-20T14:59:58.920001,398,320,392.56,17055.22
93,2025-05-20,403,SJLIC,SuryaJyoti Life Insurance Company Limited,435,441.7,430.3,440.21,22625,9916942.7,432.96,644,395.1,2025-05-20T14:59:13.875859,441,220,438.31,22063.1
94,2025-05-20,417,GBBL,Garima Bikas Bank Limited,391.5,405,390,404.01,29668,11776153.9,393.92,531.4,350.1,2025-05-20T14:59:49.177485,403.5,148,396.93,22949.86
95,2025-05-20,471,MPFL,Multipurpose Finance Company  Limited,611.5,618,596,614.06,11412,6942301.1,599.59,936.9,421.1,2025-05-20T14:59:51.507688,614.6,100,608.33,3746.99
96,2025-05-20,473,SHINE,Shine Resunga Development Bank Ltd.,401,416,401,413.36,40005,16424914,403.58,625,373.2,2025-05-20T14:59:41.486927,413.5,208,410.57,20154.2
97,2025-05-20,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,740,764,736,760.74,8292,6273157.4,750.52,1004,650,2025-05-20T14:58:43.134246,760,70,756.53,10230.97
98,2025-05-20,516,MFIL,Manjushree Finance Ltd.,591,607,590,604.08,14552,8680114.7,592.28,917,497,2025-05-20T14:59:56.323261,604,116,596.48,8164.46
99,2025-05-20,517,NBL,Nepal Bank Limited,246.9,254.5,244.4,252.72,54752,13684856.2,248.27,337.5,202,2025-05-20T14:59:52.922251,254.5,264,249.94,37134.73
100,2025-05-20,545,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,830,881,830,864.95,6942,5953350.3,842.19,1250,723.3,2025-05-20T14:59:12.157449,860.1,127,857.58,6780.56
101,2025-05-20,559,NLG,NLG Insurance Company Ltd.,805,835,785,828.71,43298,35291882.2,799.83,1382,732,2025-05-20T14:59:50.144804,827.6,298,815.09,20739.78
102,2025-05-20,561,SINDU,Sindhu Bikash Bank Ltd,812,876.3,812,876.3,96072,82592276.4,796.67,1482,368,2025-05-20T14:59:53.187838,876.3,1191,859.69,4884.99
103,2025-05-20,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,787.6,807.9,787.6,802.25,14826,11822221,795.64,1105,780.2,2025-05-20T14:59:38.858689,807,161,797.39,34598.01
104,2025-05-20,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,778,799.9,778,796.93,2170,1714064.8,792.42,987,667.1,2025-05-20T14:59:57.316763,799,53,789.89,7829.84
105,2025-05-20,591,SHPC,Sanima Mai Hydropower Ltd.,557.3,588.8,550,581.19,533461,304989960.7,563.38,680,316,2025-05-20T14:59:59.935419,581,1165,571.71,21724.85
106,2025-05-20,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1450,1515,1450,1509.53,3997,5980601.8,1479.01,2019,1224,2025-05-20T14:59:39.941492,1514.9,90,1496.27,3380.34
107,2025-05-20,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1045.6,1070,1040,1070,265,278245,1066.85,1428,993,2025-05-20T14:45:03.523383,1070,7,1049.98,4725.78
108,2025-05-20,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11398,11596,11250,11596,190,2163400,11200,16270,9893.1,2025-05-20T14:20:02.518855,11596,7,11386.31,20597.93
109,2025-05-20,700,HEIP,Himalayan Everest Insurance Limited Promoter,365,365,365,365,200,73000,363.78,563,327,2025-05-20T14:56:38.613224,365,3,365,976.39
110,2025-05-20,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,709,710,696.2,702.65,1858,1300354.1,705.37,918,630,2025-05-20T14:55:27.424929,707,28,699.86,5069.26
111,2025-05-20,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1219.7,1269,1219.7,1254.8,1865,2323557.7,1244.53,1815,1118.2,2025-05-20T14:59:35.344966,1269,33,1245.87,7765.96
112,2025-05-20,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,718,718,696,707.81,3195,2252342.8,704,1214.8,682.1,2025-05-20T14:59:49.58442,708.5,52,704.95,7830.41
113,2025-05-20,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,737,754,733,744.9,15876,11826263.7,736.65,980,648,2025-05-20T14:59:21.268733,748,150,744.91,10570.13
114,2025-05-20,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,286.2,310,286.2,302.8,322114,95967299,292.03,360,158.1,2025-05-20T14:59:46.522709,305,888,297.92,74367.11
115,2025-05-20,2743,NGPL,Ngadi Group Power Ltd.,352,378,352,376.03,1002423,368317969,359.16,571,250,2025-05-20T14:59:59.500876,377,2228,367.42,13922.73
116,2025-05-20,2744,GRDBL,Green Development Bank Ltd.,1077.5,1162,1060.1,1161.83,20124,22927009.6,1056.45,2001.4,417,2025-05-20T14:56:31.434935,1161.1,353,1139.28,6618.93
117,2025-05-20,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1200.9,1260,1200.9,1231.22,1416,1743766.5,1216.47,1727,1161,2025-05-20T14:59:26.810367,1240,34,1231.47,16395.03
118,2025-05-20,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,658,675,655,670.3,10942,7308004.1,658.56,890,639,2025-05-20T14:59:56.063966,671,135,667.88,6931.33
119,2025-05-20,2757,AKPL,Arun Kabeli Power Ltd.,240,258,236,251.29,231417,57400355.9,240.41,326,157.2,2025-05-20T14:59:54.811103,253,770,248.03,9790.11
120,2025-05-20,2760,UMHL,United Modi Hydropower Ltd.,503.1,510,503.1,507.42,97255,49253167.3,508.13,517,227.4,2025-05-20T14:59:43.626873,507,368,506.43,6243.8
