Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-04-15,132,NIMB,Nepal Investment Mega Bank Limited,215.7,215.7,211.4,212.79,69426,14805064,211.51,295,147.4,2025-04-15T14:59:47.953328,212.2,272,213.24,72622.24
2,2025-04-15,134,HBL,Himalayan Bank Limited,235,239,232,233.01,37690,8871564.2,231.07,312.1,167.1,2025-04-15T14:59:40.095597,232.1,161,235.38,50462.08
3,2025-04-15,135,SBI,Nepal SBI Bank Limited,429,429,418,420.25,120494,50489323.5,420.87,549,268.6,2025-04-15T14:58:34.509135,422,159,419.01,45803.71
4,2025-04-15,139,NICA,NIC Asia Bank Ltd.,383,383,375.4,378.78,28213,10695139.3,376.04,573,341.6,2025-04-15T14:59:41.318191,380,178,379.08,56504.76
5,2025-04-15,141,LSL,Laxmi Sunrise Bank Limited,222.2,222.2,216,218.47,145888,32153719.6,217.91,300,143.6,2025-04-15T14:59:41.835413,217.4,185,220.4,53189.83
6,2025-04-15,145,SBL,Siddhartha Bank Limited,289,289,282.5,284.95,17057,4860855.1,283.37,380,214,2025-04-15T14:59:09.32776,285,86,284.97,40149.4
7,2025-04-15,149,OHL,Oriental Hotels Limited,885,901,858.8,885.9,11024,9622609.8,876.24,1205,704,2025-04-15T14:59:44.311151,885.2,57,872.87,10493.44
8,2025-04-15,152,NHPC,National Hydro Power Company Limited,208.9,213,205.1,210.76,121647,25716926.1,206.86,290,136,2025-04-15T14:59:54.444598,210,305,211.4,5198.26
9,2025-04-15,155,STC,Salt Trading Corporation,5200,5277.9,5170,5250.45,1477,7734412.5,5155.34,7000,4210,2025-04-15T14:59:58.932015,5277.9,50,5236.56,16839.09
10,2025-04-15,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,683.9,684.9,672.1,680.83,4683,3186909,670.54,930.2,613,2025-04-15T14:59:29.54339,678.1,74,680.52,17783.82
11,2025-04-15,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,844,848,844,844.54,9354,7903518.2,844.44,1155,800,2025-04-15T14:59:31.848367,845,131,844.93,27154.88
12,2025-04-15,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,780,785.5,767,781.53,3944,3073963.7,776.15,1099,670,2025-04-15T14:59:17.670165,781,61,779.4,14601.22
