Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-05-13,131,NABIL,Nabil Bank Limited,488,493.6,481,487.41,65061,31585532.7,485.65,700,428,2025-05-13T14:59:43.63327,487,576,485.47,131878.52
2,2025-05-13,134,HBL,Himalayan Bank Limited,221,223,216,216.66,49964,10900344.1,217.13,312.1,172.1,2025-05-13T14:59:28.550146,216,153,218.16,46921.22
3,2025-05-13,135,SBI,Nepal SBI Bank Limited,392,392,379,381.67,25917,9917756.2,384.36,549,274.4,2025-05-13T14:56:37.823055,380,128,382.67,41598.82
4,2025-05-13,137,EBL,Everest Bank Limited,621,629,614.5,615.86,35938,22211967,618.83,790,502.5,2025-05-13T14:59:42.505399,615,204,618.06,79721.19
5,2025-05-13,139,NICA,NIC Asia Bank Ltd.,350,352,344,347.21,69156,23945061.6,349.98,573,340.1,2025-05-13T14:59:45.866214,347.5,409,346.24,51795.28
6,2025-05-13,141,LSL,Laxmi Sunrise Bank Limited,209.9,209.9,205.3,207.05,79656,16435503.8,206.81,300,147.7,2025-05-13T14:59:46.795883,206.7,229,206.33,50409.45
7,2025-05-13,149,OHL,Oriental Hotels Limited,905,905,882,883.39,14502,12918196.3,901.8,1205,740,2025-05-13T14:59:48.32405,882,62,890.78,10463.71
8,2025-05-13,152,NHPC,National Hydro Power Company Limited,232,234.5,223.1,223.93,219709,49893311.5,231.49,290,136,2025-05-13T14:59:43.56854,226,599,227.08,5523.09
9,2025-05-13,156,BBC,Bishal Bazar Company Limited,6000,6000,5700,5725.07,971,5604334.8,5883.11,7247,3684.8,2025-05-13T14:59:54.749901,5740,60,5771.71,229575.31
10,2025-05-13,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,678,680,671,673.3,13516,9110779.5,670,930.2,649,2025-05-13T14:59:34.543364,675,109,674.07,17587.13
11,2025-05-13,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,860,860,849,851.06,8236,7021016.1,853.96,1155,815,2025-05-13T14:59:58.061264,852,129,852.47,27364.52
12,2025-05-13,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,785,800,780,785.42,6214,4924053.5,787.51,1099,705,2025-05-13T14:58:40.563156,788,73,792.41,14673.89
