Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-10-07,131,NABIL,Nabil Bank Limited,530,530,512.6,521,48977,25450439.7,527,619,471,2025-10-07T14:59:52.039002,521,408,519.64,140966.96
2,2025-10-07,132,NIMB,Nepal Investment Mega Bank Limited,208,208.9,203,206.9,201747,41250256.7,208,264.9,189.2,2025-10-07T14:59:59.658342,206.9,320,204.46,70612.06
3,2025-10-07,133,SCB,Standard Chartered Bank Limited,639.5,639.5,618.3,625,43949,27354039.1,630,779.2,594.9,2025-10-07T14:59:57.782639,625,228,622.4,62764.8
4,2025-10-07,134,HBL,Himalayan Bank Limited,203.8,203.8,199.9,201.9,60463,12111204.5,203.8,286,184,2025-10-07T14:59:59.123952,201.9,2422,200.3,45592.38
5,2025-10-07,135,SBI,Nepal SBI Bank Limited,396,396,383.1,384,13295,5125512.8,393,549,363,2025-10-07T14:59:44.65628,384,63,385.52,41852.77
6,2025-10-07,137,EBL,Everest Bank Limited,724,724,710,720,89590,64430158.6,720,780.6,570,2025-10-07T14:59:51.675798,720,367,719.16,93201.8
7,2025-10-07,139,NICA,NIC Asia Bank Ltd.,332,335,326.4,330.2,38679,12774584.7,334,505,308.7,2025-10-07T14:59:38.075949,330.2,286,330.27,49257.81
8,2025-10-07,140,MBL,Machhapuchhre Bank Limited,221,221,219,219.2,44077,9670879.1,222,290,208.6,2025-10-07T14:59:48.311358,219.2,130,219.4,26492.98
9,2025-10-07,141,LSL,Laxmi Sunrise Bank Limited,229,230,224.5,228,90622,20650388.6,232,274.9,201,2025-10-07T14:59:45.058809,228,203,227.87,55510.05
10,2025-10-07,142,KBL,Kumari Bank Limited,192.1,194,188.1,188.6,399041,75814977.8,192,253.5,175.5,2025-10-07T14:59:59.533102,188.6,625,189.99,49461.97
11,2025-10-07,145,SBL,Siddhartha Bank Limited,365,365,353.1,353.5,32950,11713335.4,360,408,261,2025-10-07T14:57:49.486548,353.5,113,355.48,49808.08
12,2025-10-07,147,SHL,Soaltee Hotel Limited,526,530,515.5,521,40916,21333730.1,536.4,619,455,2025-10-07T14:59:50.984145,521,142,521.4,53239.05
13,2025-10-07,148,TRH,Taragaon Regency Hotel Limited,840,850,823.2,845,7591,6344654.7,856.8,1284,807.5,2025-10-07T14:59:56.795383,845,68,835.81,16579.92
14,2025-10-07,149,OHL,Oriental Hotels Limited,725,725,697,703,6429,4516560.3,725,1100,687.2,2025-10-07T14:59:57.918328,703,86,702.52,8327
15,2025-10-07,152,NHPC,National Hydro Power Company Limited,204,204,194.5,196.1,50147,9868344.4,200,254,178.6,2025-10-07T14:59:59.179979,196.1,236,196.78,4836.68
16,2025-10-07,153,BPCL,Butwal Power Company Limited,778.2,778.2,721.1,722,120205,88703536.2,763,1065,375.1,2025-10-07T14:59:57.805738,722,383,737.93,24613.45
17,2025-10-07,154,CHCL,Chilime Hydropower Company Limited,505,505,490.2,497.3,22538,11164682.8,503,610,456,2025-10-07T14:59:37.627843,497.3,189,495.37,43674.86
18,2025-10-07,155,STC,Salt Trading Corporation,5410,5440,5288,5290,1305,6933004,5395,6399,4832,2025-10-07T14:58:16.507936,5290,46,5312.64,16965.93
19,2025-10-07,156,BBC,Bishal Bazar Company Limited,5000,5062,4871.1,4908,823,4080969,4962.8,7247,4057.2,2025-10-07T14:59:20.258754,4908,30,4958.65,196810.8
20,2025-10-07,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,765,770,746,754.9,5536,4176232.4,770,854.4,650,2025-10-07T14:59:59.645133,754.9,76,754.37,19718.59
21,2025-10-07,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1035,1035,1000,1010,31517,31766090.5,1028,1144.8,821.5,2025-10-07T14:59:57.802134,1010,291,1007.9,32474.99
22,2025-10-07,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,860,860,842.8,851,8283,7022412.7,871,1010,759,2025-10-07T14:59:32.797386,851,86,847.81,15899.11
23,2025-10-07,171,SANIMA,Sanima Bank Limited,338.9,338.9,320.5,326,119718,39196539,335,391,285,2025-10-07T14:59:45.998363,326,355,327.4,44275.77
24,2025-10-07,172,NABBC,Narayani Development Bank Limited,768.4,799,725,753,58839,44663183.9,784,2060,600,2025-10-07T14:47:10.689405,753,61,759.07,3952.76
25,2025-10-07,176,NICL,Nepal Insurance Co. Ltd.,540.2,546,529.1,530,10086,5397378.9,549,1064,494.9,2025-10-07T14:57:08.163963,530,114,535.13,13507.45
26,2025-10-07,177,RBCL,Rastriya Beema Company Limited,15000.1,15000.1,14952,15000,161,2411115,15230,18409,14024,2025-10-07T14:41:36.012666,15000,14,14975.86,39995.47
27,2025-10-07,178,NLICL,National Life Insurance Co. Ltd.,590,598,587.1,587.1,5348,3148054.6,599.9,738,539,2025-10-07T14:55:40.07233,587.1,53,588.64,32130.45
28,2025-10-07,179,HEI,Himalayan Everest Insurance Limited,523,523.6,511,520.2,6415,3322837.4,524,722,504,2025-10-07T14:59:59.824924,520.2,45,517.97,13005.82
29,2025-10-07,180,UAIL,United Ajod Insurance Limited,487,487,460.1,467,13005,6083959.5,481,767,422.1,2025-10-07T14:59:55.083541,467,140,467.81,10787.7
30,2025-10-07,182,SPIL,Siddhartha Premier Insurance Limited,718,718.7,711.5,712.5,5549,3956975.7,727.9,980.4,710,2025-10-07T14:59:22.797239,712.5,50,713.09,19996.67
31,2025-10-07,183,NIL,Neco Insurance Limited,616,616,600,602,11715,7083725.7,615,999,580,2025-10-07T14:59:08.058615,602,170,604.67,16203.02
32,2025-10-07,184,PRIN,Prabhu Insurance Ltd.,680.1,689,675,686,7008,4767232.4,692,1088.8,658.1,2025-10-07T14:59:55.801225,686,68,680.25,11668.56
33,2025-10-07,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,600,615,600,610,6343,3852252,611.5,818,584.2,2025-10-07T14:59:55.485416,610,61,607.32,15998.09
34,2025-10-07,186,IGI,IGI Prudential insurance Limited,450,450,432.1,437,13363,5866663.6,447.8,690.8,417,2025-10-07T14:59:40.950461,437,132,439.02,13238.19
35,2025-10-07,187,NLIC,Nepal Life Insurance Co. Ltd.,775,780,764,770,24049,18502174,779.2,920,702,2025-10-07T14:59:18.889733,770,185,769.35,69521.48
36,2025-10-07,188,LICN,Life Insurance Corporation (Nepal) Limited,848,848,828,833.9,2612,2173511.4,840,2159,773,2025-10-07T14:59:58.533917,833.9,55,832.12,45864.5
37,2025-10-07,192,SICL,Shikhar Insurance Co. Ltd.,662.5,662.6,644,651,8784,5703113.8,676,905,588.8,2025-10-07T14:59:30.540563,651,131,649.26,19029.37
38,2025-10-07,194,NFS,Nepal Finance Ltd.,660,660,628.1,639,11647,7409882.9,647.4,1605,576,2025-10-07T14:57:50.936207,639,132,636.2,5360.85
39,2025-10-07,195,BNL,Bottlers Nepal (Balaju) Limited,15400,15400,15400,15400,10,154000,15700,22500,14900,2025-10-07T14:13:22.410266,15400,1,15400,30012.86
40,2025-10-07,204,GUFL,Gurkhas Finance Ltd.,500,500,490,491,2502,1230196,500,840,465.5,2025-10-07T14:58:43.777139,491,46,491.68,4261.85
